id,uuid,qualifier,category,agent,utterance_id,label,toloka_session,toloka_study,id,uuid,speaker,start,end,text,text_coref,segmentation_id,microfacts,claimspan,visibility,asr_prob_avg,asr_prob_min
2863534,3bd22dc2-304b-11ee-957d-0242ac1c0003,Checkworthiness,Not Checkable,000269d890--64c8b82a14c06f40385c1e74,2458639,Not a Claim,,,2458639,187e3d5a-fef2-11ed-810a-00155d18d07f,SPEAKER_01,299.46,300.04,Sound familiar?,,3362,,,"[""Checkworthiness"", ""Motivation"", ""ClaimSpan""]",,
2863535,43292fc6-304b-11ee-957d-0242ac1c0003,Checkworthiness,Not Checkable,000269d890--64c8b82a14c06f40385c1e74,2458640,Personal Experience,,,2458640,187ee66a-fef2-11ed-810a-00155d18d07f,SPEAKER_01,300.38,303.98,I bet you some big experience that I certainly have at different moments in my life.,Dr. Mark bet you some big experience that Dr. Mark certainly have at different moments in Dr. Mark's life.,3362,,,"[""Checkworthiness"", ""Motivation"", ""ClaimSpan""]",,
2863537,51b92c44-304b-11ee-957d-0242ac1c0003,Checkworthiness,Checkable,000269d890--64c8b82a14c06f40385c1e74,2458638,Cause and Effect,,,2458638,187d558e-fef2-11ed-810a-00155d18d07f,SPEAKER_01,294.34,299.04,"Now, a lot of people have an inversion where their cortisol is all in the morning, they can't get out of bed and at night, they're tired and wired.","Now, a lot of people have an inversion where a lot of people's cortisol is all in the morning, a lot of people can't get out of bed and at night, a lot of people're tired and wired.",3362,,,"[""Checkworthiness"", ""Motivation"", ""ClaimSpan""]",,
2863545,339bf09c-304c-11ee-af4e-0242ac1c0002,Checkworthiness,Checkable,000269d890--64c8b82a14c06f40385c1e74,2458644,Numerical Claims,,,2458644,18825d2c-fef2-11ed-810a-00155d18d07f,SPEAKER_01,331.36,335.7,"So when you think about it, when your cortisol is high, you're running from a tiger, you're in danger.",,3362,,,"[""Checkworthiness"", ""Motivation"", ""ClaimSpan""]",,
2863546,339d520c-304c-11ee-af4e-0242ac1c0002,Checkworthiness,Checkable,000269d890--64c8b82a14c06f40385c1e74,2458646,Numerical Claims,,,2458646,1883a4c0-fef2-11ed-810a-00155d18d07f,SPEAKER_01,336.94,339.0,You want to be alert and that's the problem.,,3362,,,"[""Checkworthiness"", ""Motivation"", ""ClaimSpan""]",,
2863549,33ce9a7e-304c-11ee-af4e-0242ac1c0002,Checkworthiness,Checkable,000269d890--64c8b82a14c06f40385c1e74,2458649,Cause and Effect,,,2458649,1885ccc8-fef2-11ed-810a-00155d18d07f,SPEAKER_01,373.3,380.14,"And if you're healthy and balanced in your circadian rhythms and your cortisol and melatonin cycles, you'll be fine.",,3362,,,"[""Checkworthiness"", ""Motivation"", ""ClaimSpan""]",,
2863550,33d01d04-304c-11ee-af4e-0242ac1c0002,Checkworthiness,Checkable,000269d890--64c8b82a14c06f40385c1e74,2458647,Cause and Effect,,,2458647,18843e44-fef2-11ed-810a-00155d18d07f,SPEAKER_01,339.18,354.58,"So if your cortisol levels are balanced and they're high in the morning and then low at night and your blood sugar stays even, we'll talk about why that's important because fluctuations in blood sugar often will cause midnight or middle of the night wakening.","So if your cortisol levels are balanced and your cortisol levels're high in the morning and then low at night and your blood sugar stays even, we'll talk about why that's important because fluctuations in blood sugar often will cause midnight or middle of the night wakening.",3362,,,"[""Checkworthiness"", ""Motivation"", ""ClaimSpan""]",,
2863551,33d28d0a-304c-11ee-af4e-0242ac1c0002,Checkworthiness,Checkable,000269d890--64c8b82a14c06f40385c1e74,2458650,Numerical Claims,,,2458650,18866e44-fef2-11ed-810a-00155d18d07f,SPEAKER_01,380.28,384.72,"But if your cortisol is high in the afternoon or high in the evening, you might feel tired and wired.",,3362,,,"[""Checkworthiness"", ""Motivation"", ""ClaimSpan""]",,
2863553,3401d9ac-304c-11ee-af4e-0242ac1c0002,Checkworthiness,Checkable,000269d890--64c8b82a14c06f40385c1e74,2458654,Cause and Effect,,,2458654,18891f0e-fef2-11ed-810a-00155d18d07f,SPEAKER_01,392.74,406.46,"And that happens when you sort of go, go, go, go, go, do your email, you're working, working, working and busy and then you go to bed and you fall asleep because you're exhausted but you end up waking up because your body is still in a stress state.",,3362,,,"[""Checkworthiness"", ""Motivation"", ""ClaimSpan""]",,
2863554,3403471a-304c-11ee-af4e-0242ac1c0002,Checkworthiness,Not Checkable,000269d890--64c8b82a14c06f40385c1e74,2458655,Emotions and Opinions,,,2458655,1889b298-fef2-11ed-810a-00155d18d07f,SPEAKER_01,406.56,407.62,There's still high levels of cortisol.,,3362,,,"[""Checkworthiness"", ""Motivation"", ""ClaimSpan""]",,
2863558,34079568-304c-11ee-af4e-0242ac1c0002,Checkworthiness,Not Checkable,000269d890--64c8b82a14c06f40385c1e74,2458657,Emotions and Opinions,,,2458657,188af130-fef2-11ed-810a-00155d18d07f,SPEAKER_01,411.34,412.92,"Well, it works in a lot of different ways.","Well, stress works in a lot of different ways.",3362,,,"[""Checkworthiness"", ""Motivation"", ""ClaimSpan""]",,
2863559,3436cc7a-304c-11ee-af4e-0242ac1c0002,Checkworthiness,Checkable,000269d890--64c8b82a14c06f40385c1e74,2458659,Cause and Effect,,,2458659,188c7e60-fef2-11ed-810a-00155d18d07f,SPEAKER_01,416.12,422.26,"Worries about family, work, money, physical stresses, lack of exercise is a stress, believe it or not.",,3362,,,"[""Checkworthiness"", ""Motivation"", ""ClaimSpan""]",,
2863560,3439c948-304c-11ee-af4e-0242ac1c0002,Checkworthiness,Not Checkable,000269d890--64c8b82a14c06f40385c1e74,2458656,Not a Claim,,,2458656,188a550e-fef2-11ed-810a-00155d18d07f,SPEAKER_01,408.28,411.2,So how does stress affect your sleep-wake cycles?,,3362,,,"[""Checkworthiness"", ""Motivation"", ""ClaimSpan""]",,
2863563,343d1a30-304c-11ee-af4e-0242ac1c0002,Checkworthiness,Not Checkable,000269d890--64c8b82a14c06f40385c1e74,2458658,Emotions and Opinions,,,2458658,188bdadc-fef2-11ed-810a-00155d18d07f,SPEAKER_01,413.62,416.12,"Psychological stress can be a big factor, right?",,3362,,,"[""Checkworthiness"", ""Motivation"", ""ClaimSpan""]",,
2863565,34734006-304c-11ee-af4e-0242ac1c0002,Checkworthiness,Checkable,000269d890--64c8b82a14c06f40385c1e74,2458661,Cause and Effect,,,2458661,188db92e-fef2-11ed-810a-00155d18d07f,SPEAKER_01,432.2,439.2,"All these drive increased inflammation, increased brain inflammation, and also increased cortisol.","Too much screen time, junk food, toxic lifestyles, hormonal imbalances, environmental toxins drive increased inflammation, increased brain inflammation, and also increased cortisol.",3362,,,"[""Checkworthiness"", ""Motivation"", ""ClaimSpan""]",,
2863567,34756552-304c-11ee-af4e-0242ac1c0002,Checkworthiness,Not Checkable,000269d890--64c8b82a14c06f40385c1e74,2458667,Not a Claim,,,2458667,18919ecc-fef2-11ed-810a-00155d18d07f,SPEAKER_01,474.88,485.04,So what should you do to optimize nutrition so you can regulate your stress hormones through food and lifestyle and how do you deal with actually regulating sleep throughout the whole night and get high quality sleep?,,3362,,,"[""Checkworthiness"", ""Motivation"", ""ClaimSpan""]",,
2863568,3476bf10-304c-11ee-af4e-0242ac1c0002,Checkworthiness,Checkable,000269d890--64c8b82a14c06f40385c1e74,2458663,Cause and Effect,,,2458663,188f3d44-fef2-11ed-810a-00155d18d07f,SPEAKER_01,447.58,451.12,So literally eating sugar is a stressful experience to your body.,,3362,,,"[""Checkworthiness"", ""Motivation"", ""ClaimSpan""]",,
2863569,349a575e-304c-11ee-af4e-0242ac1c0002,Checkworthiness,Not Checkable,000269d890--64c8b82a14c06f40385c1e74,2458668,Emotions and Opinions,,,2458668,189233c8-fef2-11ed-810a-00155d18d07f,SPEAKER_01,485.42,494.8,"So first thing is our bodies, whether we like it or not, are biological organisms and they run in circadian rhythms and they need to be balanced.","So first thing is our bodies, whether we like it or not, are biological organisms and our bodies run in circadian rhythms and our bodies need to be balanced.",3362,,,"[""Checkworthiness"", ""Motivation"", ""ClaimSpan""]",,
2863571,34a592c2-304c-11ee-af4e-0242ac1c0002,Checkworthiness,Not Checkable,000269d890--64c8b82a14c06f40385c1e74,2458665,Not a Claim,,,2458665,18907268-fef2-11ed-810a-00155d18d07f,SPEAKER_01,459.42,465.02,So what are the things that are the two most common things that are screwing up your sleep-wake cycles?,,3362,,,"[""Checkworthiness"", ""Motivation"", ""ClaimSpan""]",,
2863575,34cd5000-304c-11ee-af4e-0242ac1c0002,Checkworthiness,Not Checkable,000269d890--64c8b82a14c06f40385c1e74,2458669,Emotions and Opinions,,,2458669,18931b26-fef2-11ed-810a-00155d18d07f,SPEAKER_01,494.8,496.24,So you have to live in rhythm.,,3362,,,"[""Checkworthiness"", ""Motivation"", ""ClaimSpan""]",,
2863577,34d9281c-304c-11ee-af4e-0242ac1c0002,Checkworthiness,Not Checkable,000269d890--64c8b82a14c06f40385c1e74,2458672,Personal Experience,,,2458672,1895185e-fef2-11ed-810a-00155d18d07f,SPEAKER_01,504.86,507.3,Then I'd work at 2 in the afternoon until the 2 in the morning shift.,,3362,,,"[""Checkworthiness"", ""Motivation"", ""ClaimSpan""]",,
2863578,34da51ba-304c-11ee-af4e-0242ac1c0002,Checkworthiness,Not Checkable,000269d890--64c8b82a14c06f40385c1e74,2458670,Personal Experience,,,2458670,1893b77a-fef2-11ed-810a-00155d18d07f,SPEAKER_01,496.6,501.24,I experienced the dangers of not being in rhythm when I worked in the emergency room.,,3362,,,"[""Checkworthiness"", ""Motivation"", ""ClaimSpan""]",,
2863580,3509604a-304c-11ee-af4e-0242ac1c0002,Checkworthiness,Not Checkable,000269d890--64c8b82a14c06f40385c1e74,2458674,Emotions and Opinions,,,2458674,18966470-fef2-11ed-810a-00155d18d07f,SPEAKER_01,510.58,513.42,"Then I'd work at 8 in the morning to an 8 in the morning shift, 24 hour shift.",,3362,,,"[""Checkworthiness"", ""Motivation"", ""ClaimSpan""]",,
2863583,35124c8c-304c-11ee-af4e-0242ac1c0002,Checkworthiness,Not Checkable,000269d890--64c8b82a14c06f40385c1e74,2458675,Emotions and Opinions,,,2458675,18970c4a-fef2-11ed-810a-00155d18d07f,SPEAKER_01,513.78,521.46,I was all over the place and my whole system became dysregulated and ultimately it led to chronic fatigue syndrome and a bunch of other stuff.,,3362,,,"[""Checkworthiness"", ""Motivation"", ""ClaimSpan""]",,
2863584,352f5e4e-304c-11ee-af4e-0242ac1c0002,Checkworthiness,Not Checkable,000269d890--64c8b82a14c06f40385c1e74,2458673,Emotions and Opinions,,,2458673,1895cf38-fef2-11ed-810a-00155d18d07f,SPEAKER_01,507.6,510.48,Then I'd work at 11 o'clock at night to a 7 in the morning shift.,,3362,,,"[""Checkworthiness"", ""Motivation"", ""ClaimSpan""]",,
2863585,353a941c-304c-11ee-af4e-0242ac1c0002,Checkworthiness,Not Checkable,000269d890--64c8b82a14c06f40385c1e74,2458677,Emotions and Opinions,,,2458677,18984b64-fef2-11ed-810a-00155d18d07f,SPEAKER_01,528.64,536.9,"And whether we like it or not, we tend to do a lot better from our health perspective if we go to bed at the same time, if we wake at the same time, if we eat at the same time.",,3362,,,"[""Checkworthiness"", ""Motivation"", ""ClaimSpan""]",,
2863587,353ea44e-304c-11ee-af4e-0242ac1c0002,Checkworthiness,Not Checkable,000269d890--64c8b82a14c06f40385c1e74,2458676,Emotions and Opinions,,,2458676,1897ac18-fef2-11ed-810a-00155d18d07f,SPEAKER_01,521.46,528.04,My system just kind of collapsed because I was pushing through all these circadian rhythms which have to be in balance for you to be healthy.,,3362,,,"[""Checkworthiness"", ""Motivation"", ""ClaimSpan""]",,
2863590,356de6e6-304c-11ee-af4e-0242ac1c0002,Checkworthiness,Not Checkable,000269d890--64c8b82a14c06f40385c1e74,2458678,Broadcast Details,,,2458678,1898e4f2-fef2-11ed-810a-00155d18d07f,SPEAKER_01,537.16,539.08,Our bodies are designed like that.,,3362,,,"[""Checkworthiness"", ""Motivation"", ""ClaimSpan""]",,
2863591,356f89f6-304c-11ee-af4e-0242ac1c0002,Checkworthiness,Not Checkable,000269d890--64c8b82a14c06f40385c1e74,2458679,Emotions and Opinions,,,2458679,189980ce-fef2-11ed-810a-00155d18d07f,SPEAKER_01,539.62,547.76,So you want to make sure that you actually don't eat before bed because that's the worst thing you can do.,,3362,,,"[""Checkworthiness"", ""Motivation"", ""ClaimSpan""]",,
2863594,3579b85e-304c-11ee-af4e-0242ac1c0002,Checkworthiness,Not Checkable,000269d890--64c8b82a14c06f40385c1e74,2458680,Emotions and Opinions,,,2458680,189a1e1c-fef2-11ed-810a-00155d18d07f,SPEAKER_01,547.8,551.3,But you need to make sure you're having meals in a regular time space.,,3362,,,"[""Checkworthiness"", ""Motivation"", ""ClaimSpan""]",,
2863595,35928e56-304c-11ee-af4e-0242ac1c0002,Checkworthiness,Not Checkable,000269d890--64c8b82a14c06f40385c1e74,2458681,Emotions and Opinions,,,2458681,189ac218-fef2-11ed-810a-00155d18d07f,SPEAKER_01,551.3,552.92,So don't eat three hours before bed.,,3362,,,"[""Checkworthiness"", ""Motivation"", ""ClaimSpan""]",,
2863597,4266ccc8-304c-11ee-af4e-0242ac1c0002,Checkworthiness,Not Checkable,000269d890--64c8b82a14c06f40385c1e74,2458683,Emotions and Opinions,,,2458683,189bfc64-fef2-11ed-810a-00155d18d07f,SPEAKER_01,557.32,572.62,"Also carbohydrates, I think if you want to actually eat some starchy things like sweet potatoes or some more starchy foods and you can handle it metabolically, make sure you do it at night because the serotonin levels go up and it helps with sleep when you have your carbohydrates.",,3362,,,"[""Checkworthiness"", ""Motivation"", ""ClaimSpan""]",,
2863599,46930118-304c-11ee-af4e-0242ac1c0002,Checkworthiness,Not Checkable,000269d890--64c8b82a14c06f40385c1e74,2458684,Emotions and Opinions,,,2458684,189c90c0-fef2-11ed-810a-00155d18d07f,SPEAKER_01,572.74,576.84,"But still don't eat white flour, sugar, processed, all that processed food.",,3362,,,"[""Checkworthiness"", ""Motivation"", ""ClaimSpan""]",,
2863601,54139bb8-304c-11ee-af4e-0242ac1c0002,Checkworthiness,Not Checkable,demo,2465482,Not a Claim,,,2465482,32bf3f02-fef2-11ed-ba1c-00155d18d07f,SPEAKER_00,0.0,3.82,Hello and welcome to this podcast from the BBC World Service.,,3383,,,"[""Checkworthiness"", ""Motivation"", ""ClaimSpan""]",,
2863602,785b7d88-304c-11ee-af4e-0242ac1c0002,Checkworthiness,Checkable,demo,2465483,Factual Descriptions,,,2465483,32c001d0-fef2-11ed-ba1c-00155d18d07f,SPEAKER_00,4.24,8.86,Please let us know what you think and tell other people about us on social media.,Please let the BBC World Service know what you think and tell other people about the BBC World Service on social media.,3383,,,"[""Checkworthiness"", ""Motivation"", ""ClaimSpan""]",,
2863603,785cd5c0-304c-11ee-af4e-0242ac1c0002,Checkworthiness,Not Checkable,000269d890--64c8b82a14c06f40385c1e74,2458671,Personal Experience,,,2458671,189449f6-fef2-11ed-810a-00155d18d07f,SPEAKER_01,501.82,504.76,I would sometimes work at 7 in the morning until 5 at night shift.,,3362,,,"[""Checkworthiness"", ""Motivation"", ""ClaimSpan""]",,
2863605,785f992c-304c-11ee-af4e-0242ac1c0002,Checkworthiness,Not Checkable,000269d890--64c8b82a14c06f40385c1e74,2458666,Emotions and Opinions,,,2458666,189104d0-fef2-11ed-810a-00155d18d07f,SPEAKER_01,465.38,473.58,It's probably blood sugar imbalances and spikes and crashes in blood sugar and chronic stress.,,3362,,,"[""Checkworthiness"", ""Motivation"", ""ClaimSpan""]",,
2863606,7860e9f8-304c-11ee-af4e-0242ac1c0002,Checkworthiness,Not Checkable,000269d890--64c8b82a14c06f40385c1e74,2458664,Emotions and Opinions,,,2458664,188fd6fa-fef2-11ed-810a-00155d18d07f,SPEAKER_01,451.12,458.2,"Even if you're getting pleasure and you don't think it's stressful and you're meditating while you're eating sugar, you're still going to have high cortisol and high adrenaline.",,3362,,,"[""Checkworthiness"", ""Motivation"", ""ClaimSpan""]",,
2863607,788be4d2-304c-11ee-af4e-0242ac1c0002,Checkworthiness,Not Checkable,000269d890--64c8b82a14c06f40385c1e74,2458682,Emotions and Opinions,,,2458682,189b5a7a-fef2-11ed-810a-00155d18d07f,SPEAKER_01,553.12,556.72,Don't eat a heavy meal before bed because I guarantee you that'll screw up your sleep.,,3362,,,"[""Checkworthiness"", ""Motivation"", ""ClaimSpan""]",,
2863608,7df1e304-304c-11ee-af4e-0242ac1c0002,Motivation,Impact,000269d890--64c8b82a14c06f40385c1e74,2458663,Potential to Cause Harm,,,2458663,188f3d44-fef2-11ed-810a-00155d18d07f,SPEAKER_01,447.58,451.12,So literally eating sugar is a stressful experience to your body.,,3362,,,"[""Checkworthiness"", ""Motivation"", ""ClaimSpan""]",,
2863609,87a29f24-304c-11ee-af4e-0242ac1c0002,Checkworthiness,Checkable,000269d890--64c8b82a14c06f40385c1e74,2458662,Factual Descriptions,,,2458662,188ea8a2-fef2-11ed-810a-00155d18d07f,SPEAKER_01,439.4,447.46,"Because by the way, do you know this, that when you eat sugar or starch, your body responds by jerking up the adrenaline and cortisol levels.",,3362,,,"[""Checkworthiness"", ""Motivation"", ""ClaimSpan""]",,
2863612,892422fa-304c-11ee-af4e-0242ac1c0002,Motivation,Impact,000269d890--64c8b82a14c06f40385c1e74,2458662,Potential to Cause Harm,,,2458662,188ea8a2-fef2-11ed-810a-00155d18d07f,SPEAKER_01,439.4,447.46,"Because by the way, do you know this, that when you eat sugar or starch, your body responds by jerking up the adrenaline and cortisol levels.",,3362,,,"[""Checkworthiness"", ""Motivation"", ""ClaimSpan""]",,
