utterance_id,utterance_text,is_check_worthy_claim,relevance_level
2462733,"Hello, and welcome to Zoe Shorts, the bite-sized podcast where we discuss one topic around science and nutrition.",FALSE,
2462734,"I'm Jonathan Wolfe, and today I'm joined by Dr. Sarah Berry.",FALSE,
2462735,And today's subject is nuts.,FALSE,
2462736,"And Jonathan, today's subject is a subject Jonathan absolutely love.",FALSE,
2462737,Jonathan've done loads of interventional human studies measuring the effects of eating nuts on people's health.,FALSE,
2462738,"Well, the good news is we had lots of listeners worried that nuts are full of fat and therefore are bad for you.",FALSE,
2462739,"Well, Jonathan hope that lots of listeners worried that nuts are full of fat and therefore are bad for you'll be very surprised by what we're about to discuss then.",FALSE,
2462740,.,FALSE,
2462741,Let's go nuts.,FALSE,
2462742,Sorry about that.,FALSE,
2462743,"Right, so it's important before we get into the nutritional value of nuts to point out that there's lots of different ways of consuming nuts.",FALSE,
2462744,"But on average, our consumption of nuts and seeds in the UK is about six grams per day, which doesn't sound like lots, but that's because we have a lot of people don't consume nuts at all.",FALSE,
2462745,And that also includes nut butters.,FALSE,
2462746,"To put that in perspective, one portion of nuts is around 30 grams, and one portion of nuts's roughly a small handful of nuts.",FALSE,
2462747,"So six grams is literally just a couple of nuts a day then, Dr. Sarah Berry?",FALSE,
2462748,"Yeah, that's right, Jonathan.",FALSE,
2462749,Which is a shame because Jonathan know nuts're packed full of nutrients.,FALSE,
2462750,"In fact, Jonathan've heard Tim describe the nut as a tree egg.",FALSE,
2462751,"And Dr. Sarah Berry, Dr. Sarah Berry know how much Dr. Sarah Berry like the nutrients in eggs?",FALSE,
2462752,"Yeah, absolutely.",FALSE,
2462753,And mixed nuts contain so many great nutrients.,TRUE,Medium
2462754,"mixed nuts contain fibre, mixed nuts contain vitamin E, magnesium, selenium.",TRUE,High
2462755,"And nuts are also very high in fat, but nuts're particularly high in monounsaturated fats, which we know are the healthy type of fats.",TRUE,High
2462756,"So Dr. Sarah Berry, let's get into the nuts and bolts of things, shall we?",FALSE,
2462757,Oh my gosh.,FALSE,
2462758,Dr. Sarah Berry've got loads more of these today.,FALSE,
2462759,It's a great one.,FALSE,
2462760,How do nuts affect our health then?,FALSE,
2462761,"In particular, Dr. Sarah Berry've read that nuts might be good for our hearts.",FALSE,
2462762,"Yeah, nuts do lots of great things that help our heart health.",FALSE,
2462763,"So in particular, nuts can decrease our bad LDL cholesterol, and they can also decrease our blood triglyceride concentrations.",TRUE,High
2462764,And this means that nuts might help to lower the risk of both heart disease and stroke.,TRUE,High
2462765,"Now, in addition, nuts also contain bioactives.",TRUE,High
2462766,And bioactives are tiny molecules that have lots of really special roles to play in the body.,FALSE,
2462767,"For example, some have antioxidant and anti-inflammatory properties.",FALSE,
2462768,And a great example is polyphenols.,FALSE,
2462769,And polyphenols are thought to protect your cells from damage that are caused by free radicals.,TRUE,Low
2462770,"And polyphenol chemicals from nuts can help to reduce bad cholesterol from being oxidised, which happens when LDL cholesterol reacts with free radicals.",TRUE,Low
2462771,This is great because we know that oxidised LDL cholesterol can build up in the walls of your arteries.,TRUE,Low
2462772,"oxidised LDL cholesterol can cause your arteries to become thicker and to stiffen, reducing just how much blood can actually get through your arteries, which can lead to atherosclerosis, which is the first step towards heart disease and strokes.",TRUE,Low
2462773,And there's lots of different studies that have measured this.,FALSE,
2462774,And there's a number of different ones that have found that people who eat various types of nuts see a drop in the levels of oxidised LDL cholesterol by up to about 30%.,TRUE,High
2462775,"Now, on top of that, there's also impact on inflammation, isn't there?",FALSE,
2462776,And inflammation is something that we're very interested in at ZOE because of the way that inflammation seems to be linked to sort of almost every long-term disease that scientists are investigating.,FALSE,
2462777,inflammation just comes up over and over again on these podcasts and elsewhere.,FALSE,
