utterance_id,utterance_text,is_check_worthy_claim,relevance_level
2465482,Hello and welcome to this podcast from the BBC World Service.,FALSE,
2465483,Please let the BBC World Service know what you think and tell other people about the BBC World Service on social media.,FALSE,
2465484,Podcasts from the BBC World Service are supported by advertising.,TRUE,Low
2465485,How does AI even work?,FALSE,
2465486,Where does creativity come from?,FALSE,
2465487,What's the secret to living longer?,FALSE,
2465488,TED Radio Hour explores the biggest questions with some of the world's greatest thinkers.,FALSE,
2465489,"some of the world's greatest thinkers will surprise, challenge and even change you.",FALSE,
2465490,Listen to TED Radio Hour wherever you get your podcasts.,FALSE,
2465491,"We would all like some quick and simple ways to improve our health, but we're inundated with often conflicting advice.",FALSE,
2465492,"So if you were going to try just one thing to improve your mental and physical wellbeing, what should just one thing be?",FALSE,
2465493,Perhaps the martial art of Tai Chi to improve your immune system.,FALSE,
2465494,Maybe a few nuts to slow ageing.,FALSE,
2465495,Or how about cleaning your teeth to give your brain a boost?,FALSE,
2465496,"I'm Dr Michael Moseley and this podcast from the BBC World Service is Just One Thing, where each episode we'll explore one thing you can start doing today to improve your health or life in ways you might not expect.",FALSE,
2465497,"Nuts often get a bad press because Nuts are high in fat, and Nuts can cause life-threatening allergies, which is why Nuts are rightly banned from places like schools and nurseries.",FALSE,
2465498,"But if, like me, you're able to eat nuts, this is definitely one thing you should start doing today.",FALSE,
2465499,nuts are amazing little nutritional powerhouses.,FALSE,
2465500,"When we eat nuts, we get lots of fibre and, importantly, compounds called polyphenols, which feed our gut bacteria and can reduce inflammation.",TRUE,High
2465501,Eating nuts has even been linked to a longer life.,TRUE,High
2465502,nuts give you lots of good fats and we'll discuss some surprising new research on how nuts can trim your waistline and even boost your brainpower.,TRUE,Medium
2465503,"First though, I'm going to chat with Emma, who is a journalist from Surrey.",FALSE,
2465504,"Let's see if a handful of nuts a day is just one thing Emma, who is a journalist from Surrey can fit into Emma, who is a journalist from Surrey's diet.",FALSE,
2465505,"Hi, Emma, who is a journalist from Surrey.",FALSE,
2465506,"Hi, Mike.",FALSE,
2465507,Confessions time.,FALSE,
2465508,Are you a snacker?,FALSE,
2465509,"Yes, Mike definitely am.",FALSE,
2465510,Mike'm a bit of a chocoholic.,FALSE,
2465511,"Anything involving chocolate, even if Anything involving chocolate's chocolate-covered rice cakes or chocolate buttons.",FALSE,
2465512,"Emma, who is a journalist from Surrey can feel Emma, who is a journalist from Surrey's mouth salivating.",FALSE,
2465513,I'm a huge fan.,FALSE,
2465514,"Do Emma, who is a journalist from Surrey have chocolate-covered rice cakes or chocolate buttons in the house?",FALSE,
2465515,"Emma, who is a journalist from Surrey try and avoid it, but inevitably, if Emma, who is a journalist from Surrey've got a big deadline, Emma, who is a journalist from Surrey'll nip off to the shops to get something sweet.",FALSE,
2465516,"Emma, who is a journalist from Surrey's eating habits are not as healthy as My eating habits should be, and Emma, who is a journalist from Surrey tend to crash in terms of energy levels quite regularly through the day.",FALSE,
2465517,"Emma, who is a journalist from Surrey think Emma, who is a journalist from Surrey'm relying too much on sugar.",FALSE,
2465518,"Okay, so Emma, who is a journalist from Surrey, Mike'm going to ask Emma, who is a journalist from Surrey to do a hard thing.",FALSE,
2465519,"Mike'm going to ask Emma, who is a journalist from Surrey to put aside Emma, who is a journalist from Surrey's regular snacks and have a small handful of nuts a day.",FALSE,
2465520,"So a small handful of nuts a day's about 30 grams if Emma, who is a journalist from Surrey want to weigh them out.",FALSE,
2465521,a small handful of nuts a day is a substitute.,FALSE,
2465522,a small handful of nuts a day is not in addition.,FALSE,
2465523,"Emma, who is a journalist from Surrey'll do Emma, who is a journalist from Surrey's best.",FALSE,
2465524,"This could be a breakthrough for Emma, who is a journalist from Surrey.",FALSE,
2465525,"Mike've asked Emma, who is a journalist from Surrey to swap Emma, who is a journalist from Surrey's usual sweet treats for a handful of nuts every day for a week.",FALSE,
2465526,"We'll see if Emma, who is a journalist from Surrey's cracked it later this week.",FALSE,
2465527,"The nutty thing, botanically speaking, is that most of the nuts we like to eat aren't actually nuts, which are defined as a dry fruit with a single seed encased in a hard shell.",TRUE,Low
2465528,"Based on this definition, chestnuts and hazelnuts are true nuts, while almonds and cashews are classified as droops.",TRUE,Low
2465529,almonds and cashews have a fleshy outer layer.,TRUE,Low
2465530,"Whether almonds and cashews are true nuts or droops, almonds and cashews are still packed full of good things like unsaturated fats, fibre and protein, as well as a number of compounds with antioxidant and anti-inflammatory properties, all of which are good for you.",TRUE,High
2465531,"So good, almonds and cashews may even slow the ageing process at the cellular level by preserving our telomeres.",TRUE,High
2465532,our telomeres are the protective caps at the ends of your chromosomes.,TRUE,Medium
2465533,"As we get older, our telomeres gradually shrink.",TRUE,Medium
2465534,"Eventually, the telomeres get too short to do the telomeres's job and our cells can't function properly.",TRUE,Medium
2465535,"The longer our telomeres are, the younger your DNA is, and several studies have found a link between eating nuts and retaining the length of our telomeres.",TRUE,High
2465536,"As well as keeping your telomeres in good shape, eating nuts may reduce your risk of a whole range of diseases, including cancer, diabetes and heart disease.",TRUE,High
2465537,"A five-year Spanish intervention study involving over 7,000 older adults found that the group who were asked to eat nuts more than three times a week were over 40% less likely to die from cancer and 55% less likely from heart disease, compared to the control group who didn't.",TRUE,High
2465538,"And that was after controlling for other lifestyle factors like alcohol consumption, physical activity and smoking.",FALSE,
2465539,Those are some big numbers and you don't need to go nuts.,FALSE,
2465540,A handful a day is plenty.,FALSE,
2465541,One thing that puts people off nuts is the fact that some are about 70% fat.,TRUE,Medium
2465542,"But it's unsaturated fats, the sort that can actually benefit your heart health.",TRUE,High
2465543,"A massive study involving more than 300,000 people found that eating more nuts is associated with reduced weight gain over a five-year period, as well as a lower risk of becoming overweight or obese.",TRUE,High
2465544,And do bear in mind the human brain is about 60% fat.,TRUE,Low
2465545,Our brains need fat to work well.,TRUE,Low
2465546,New research shows that eating nuts can actually give your thinking skills a boost.,TRUE,Medium
2465547,How?,FALSE,
2465548,"Well, we'll crack into that with an expert in a moment.",FALSE,
2465549,"But first, let's find out how Emma, who is a journalist from Surrey is getting on.",FALSE,
2465550,So this is day four of Mike's nut snack adventure.,FALSE,
2465551,Mike'm really enjoying my nut snack adventure so far.,FALSE,
2465552,"Emma, who is a journalist from Surrey weigh out Emma, who is a journalist from Surrey's nuts in the morning.",FALSE,
2465553,"Emma, who is a journalist from Surrey've been eating my nuts generally at around 11 o'clock, so as a morning snack.",FALSE,
2465554,Emma do find my nuts quite good to munch on.,FALSE,
2465555,Emma have been finding nuts quite satisfying.,FALSE,
2465556,"Yeah, so midway through",FALSE,
2465557,"Yeah, so midway through and we'll keep going to the end of the week.",FALSE,
2465558,It sounds like Emma has found it easy to swap out Emma's sugary treats for nutty snacks.,FALSE,
2465559,So Emma'm keen to see if Emma sticks with it.,FALSE,
2465560,"But first, let's choose some nutty fat with an expert.",FALSE,
2465561,Hello there.,FALSE,
2465562,"Hi, Michael.",FALSE,
