utterance_id,utterance_text,is_check_worthy_claim,relevance_level
2290520,"Hey, hey, and welcome folks, this is The Ben Shapiro Show.",FALSE,
2290521,"Yeah, it's a Sunday, but you know what we've decided to start doing on Sundays?",FALSE,
2290522,We're going to drop you a little bit of mailbag wisdom.,FALSE,
2290523,So we're going to answer the questions we receive throughout the week from you.,FALSE,
2290524,"Now, you have to be a subscriber in order to have the questions we receive throughout the week from you answered, which is why you should go subscribe right now at dailywireplus.com.",FALSE,
2290525,Maybe your question will be the next one I answer.,FALSE,
2290526,"Corey says, Ben, Corey live in Washington State, where the legislature has recently passed bills allowing gender-affirming care of minors without parental consent.",TRUE,High
2290527,"Corey'm bothered that the Washington State, where the legislature has recently passed bills allowing gender-affirming care of minors without parental consent House and Senate Republicans don't point out the horrible truth of what's actually happening, such as the sterilization and removal of healthy body parts of minors, as Matt Walsh does.",TRUE,High
2290528,"Instead, the Washington House and Senate Republicans use the left's euphemism of gender-affirming care.",FALSE,
2290529,It seems to Corey the Washington House and Senate Republicans're losing the debate before the debate begins by allowing the truth to be obfuscated.,FALSE,
2290530,Is there any strategic reason for Republicans to speak the gender-affirming language?,FALSE,
2290531,Not one iota of a reason.,FALSE,
2290532,the left's is so fond of euphemisms.,FALSE,
2290533,It's euphemism after euphemism.,FALSE,
2290534,"And gender-affirming care replaces the just-as-euphemistic sex-change surgery, because you can't actually change your sex.",TRUE,High
2290535,It's euphemism upon euphemism.,FALSE,
2290536,It started off with sex-change surgery.,FALSE,
2290537,Then it was hormone replacement therapy.,FALSE,
2290538,Now it's gender-affirming care.,FALSE,
2290539,"Again, all of this is euphemism.",FALSE,
2290540,"What it should be is sex-denying treatment, because sex-denying treatment's what it is.",FALSE,
2290541,You are denying your own actual biological sex by altering your body and your hormones.,FALSE,
2290542,That is what you are doing.,FALSE,
2290543,The right should never give on this point.,FALSE,
2290544,"Ben mean, it's ridiculous.",FALSE,
2290545,"The right do the same thing with abortion, by the way, The right.",FALSE,
2290546,"Even the term abortion or termination of a pregnancy, Even the term abortion or termination of a pregnancy is the killing of the unborn.",FALSE,
2290547,the killing of the unborn is what The right are doing.,FALSE,
2290548,Ben can make the argument as to what the status of the unborn is at any given point.,FALSE,
2290549,But the idea that you are not killing the thing that is unborn is obviously untrue.,FALSE,
2290550,That is the thing that is happening.,FALSE,
2290551,"Jeremy says, What do Ben think the U.S. could do to win back the trust of the U.S.'s allies?",FALSE,
2290552,"Also, assuming France truly decides to become politically non-aligned and move away from the U.S., what do Ben think are the chances of France becoming an independent superpower?",FALSE,
2290553,"A very, very low.",FALSE,
2290554,France does not have the ability to become an independent superpower.,TRUE,Low
2290555,"Now, France has the most durability of any other country on the continent.",FALSE,
2290556,"It's like Germany and France are the two most durable countries on the continent, mainly because the reproduction rate in France is actually fairly decent.",TRUE,Low
2290557,Like France're still reproducing at a kind of normal rate.,FALSE,
2290558,"France're like 1.9 births per woman, which is fairly high by sort of Western standards, even though it's below replacement rates.",TRUE,Low
2290559,"Right now, Germany is like 1.6.",TRUE,Low
2290560,the U.S. is kind of around the German number.,FALSE,
2290561,"the U.S.'re like 1.8, 1.782.",TRUE,Low
2290562,Somewhere in there.,FALSE,
2290563,So France is the healthiest in terms of demographics.,TRUE,Medium
2290564,"France're also importing a huge young population from northern Africa, right, the big Moroccan population coming in, Libyan population coming into France as well.",FALSE,
2290565,France's economy doesn't allow France to really grow at extraordinarily rapid rates.,FALSE,
2290566,"France do obviously have nuclear weapons, France, and France have a not insignificant military.",FALSE,
2290567,But the idea France're ever an independent sort of power is wrong.,FALSE,
2290568,"The idea of an aligned Europe that acts as a counterweight to both the U.S. and China has long been a European dream, but they seem unwilling to actually pay the freight for The idea of an aligned Europe that acts as a counterweight to both the United States and China.",FALSE,
2290569,"Craig says, Ben, Craig want to ask about two groups of voters when comparing the 2016 and 2020 presidential elections.",FALSE,
2290570,"In 2016, Trump won almost 63 million votes.",TRUE,High
2290571,"In 2020, Trump won 74.25 million votes.",TRUE,High
2290572,Where did the 11.25 million votes come from for Trump who got mobilized?,FALSE,
