check_worthy_claim,evidence_snippet,article_url,is_unresolved_coref,stance
Podcasts from the BBC World Service are supported by advertising.,Ten Unmissable Podcasts from BBC World Service international podcast producers we are supporting their production by adding advertising.,https://www.bbc.com/news/entertainment-arts-43975703,FALSE,SUPPORTS
Podcasts from the BBC World Service are supported by advertising.,"No. UK listeners will continue to hear podcasts without advertising as they currently do. We will use the same geo-blocking technology currently used by the BBC to limit services such as iPlayer to UK residents. However, it is possible that a UK resident who travels outside the UK and downloads a podcast locally will hear advertising, just as they would if they visit the BBC News site from abroad. As podcasts are downloaded onto a particular device, they will still hear the advertising after they return to the UK.",https://www.bbc.co.uk/programmes/articles/4m9PWsXvDfytnSnV06Hrd1V/advertising-on-bbc-podcasts-outside-the-uk,FALSE,SUPPORTS
Podcasts from the BBC World Service are supported by advertising.,"Since 2018, there are adverts on BBC podcasts delivered outside the UK. When a podcast is downloaded or played, we detect whether or not you're in the UK, regardless of how you're accessing the podcast. If our systems think you're outside the UK when you download or play the podcast, you may hear advertisements. If you're in the UK but you hear advertisements on the podcasts you download or listen to, have a look at our Why do you think I'm outside the UK? page for steps to try to resolve this. For more information about advertisements on podcasts, visit the BBC World Service Radio FAQ page.",https://www.bbc.co.uk/sounds/help/questions/playback-issues/podcast-ads-uk,FALSE,SUPPORTS
Podcasts from the BBC World Service are supported by advertising.,"Why have adverts started appearing on some of the BBC’s podcasts downloaded outside of the UK? Also, how one female listener did not appreciate hearing what Indian men think. Show more · Listening to programmes from the BBC World Service is increasingly being done “on demand”, breaking from the traditional habit of being tied to a radio schedule. But why have advertisements started appearing on some the BBC’s podcasts downloaded outside of the UK? But why have advertisements started appearing on some the BBC’s podcasts downloaded outside of the UK? Also, how one female listener did not appreciate hearing what Indian men think in a country that is searching its soul after much publicised acts of notorious sexual assaults against women.",https://www.bbc.co.uk/programmes/w3cswlyw,FALSE,SUPPORTS
Podcasts from the BBC World Service are supported by advertising.,"The BBC is planning to sell adverts on some of its podcasts, for UK listeners on sites such as Apple and Spotify. ""Adverts are the norm"" on commercial platforms, BBC Studios said, and would ""generate more revenue to support the BBC, licence-fee payers our suppliers and rights holders"". But listeners on BBC Sounds would still hear the same content uninterrupted. In December, the licence fee increased by a smaller amount than expected, leaving an estimated £90m funding gap. And with more BBC critics suggesting a universal fee no longer makes sense in a digital era of abundant choice, there has been speculation its funding model could change. The BBC's smaller drama, comedy and factual podcasts will carry ads from late 2024. BBC Studios already sells ads on BBC podcasts outside the UK. It also sells audiobooks - but last year, 75% of its revenue came from streaming services such as Amazon's Prime Video and Netflix. Meanwhile, BBC Sounds generated 1.6 billion plays last year. ... French bakers beat longest baguette world record.",https://www.bbc.co.uk/news/uk-england-london-68605338,FALSE,SUPPORTS
It's even been shown to improve the well-being of breast cancer patients.,"Similar benefits were not detected using the Emotional Functioning Subscale of the European Organization for Treatment and Research of Cancer (EORTC) QLQ-C30 (see Chapter 3). The selection of quality of life and psychosocial outcome measures in randomized trials in breast cancer patients, and the ability of these instruments to identify changes when various interventions are delivered, has recently been reviewed by Ganz and Goodwin (Ganz and Goodwin, 2003). It is recommended that investigators select, whenever possible, standardized, well validated, and well accepted outcome measures that are sensitive to clinically important change and that target attributes that are likely to be influenced by the intervention. On the basis of evidence currently available, selection of one type of intervention could probably be based on therapist and/or patient preference. Finally, individual interventions have been listed in the third section of Table B-3. All of these were conducted in early breast cancer. The interventions evaluated in these studies were quite variable, including psychological interviews, telephone screening, individual cognitive–behavioral therapy, and problem skills training as well as a variety of nursing interventions. They are also consistent with a recent non-randomized study by Sepucha et al. in which breast cancer patients were assigned either to a control intervention (productive listening) in which a researcher listened to and prompted patients to reflect on their experiences communicating with physicians or to an experimental intervention (consultation planning) in which a researcher actively assisted patients in preparing for an upcoming consultation, generating a printed agenda, and developing techniques to improve communication with their physicians (Sepucha et al., 2002).",https://www.ncbi.nlm.nih.gov/books/NBK215944/,TRUE,#CHOOSE#
It's even been shown to improve the well-being of breast cancer patients.,"To conclude, receiving attachment-oriented psychological counselling in the early treatment phase is expected to reduce distress and to improve dyadic adjustment and health-related quality of life in breast cancer patients and their partners. If proven effective, this intervention would be helpful in optimising psychosocial care and rehabilitation of couples coping with breast cancer. This study investigates the effect of an attachment-oriented psychological intervention for breast cancer patients and their partners. The intervention has a theoretical framework and a strong design. If proven effective, this intervention would be helpful in optimising psychosocial care and rehabilitation of couples coping with breast cancer. There is evidence that both breast cancer patients and their partners are affected emotionally, when facing a breast cancer diagnosis. Several couple interventions have been evaluated, but there is a need for couple intervention studies with a clear theoretical basis and a strong design. The Hand in Hand intervention is designed to enhance interdependent coping in the couples and to address patients and partners that are both initially distressed and non-distressed.",https://bmcpsychology.biomedcentral.com/articles/10.1186/2050-7283-2-19,TRUE,#CHOOSE#
It's even been shown to improve the well-being of breast cancer patients.,"Now, studies show that those patients do even better when hormone therapy is combined with CDK4/6 inhibitors, which prevent cancer cells from dividing. “Three different CDK4/6 inhibitors have been approved by the U.S. Food & Drug Administration: abemaciclib, palbociclib and ribociclib,” says Damodaran, a medical oncologist who specializes in breast cancer. “When combined with hormone therapy, all three CDK4/6 inhibitors have shown immense improvement in progression-free survival in patients with stage IV breast cancer. Patients with HR+ — or hormone receptor-positive — breast cancers are often prescribed estrogen-reducing agents such as letrozole and anastrozole to starve the tumors. Now, studies show that those patients do even better when hormone therapy is combined with CDK4/6 inhibitors, which prevent cancer cells from dividing. “Three different CDK4/6 inhibitors have been approved by the U.S. Food & Drug Administration: abemaciclib, palbociclib and ribociclib,” says Damodaran, a medical oncologist who specializes in breast cancer. Trastuzimab (Herceptin) is a monoclonal antibody that has been used to treat HER2+ breast cancer patients since the 1990s. It works by targeting the HER2 receptor, preventing cancer growth. Some breast cancers express too much HER2 protein, triggering the cells to multiply very rapidly. Other monoclonal antibodies (such as pertruzimab/Perjeta) have since been developed. Today, this targeted therapy has gotten even more advanced.",https://www.mdanderson.org/cancerwise/6-advances-in-breast-cancer-diagnosis-and-treatment.h00-159308568.html,TRUE,#CHOOSE#
It's even been shown to improve the well-being of breast cancer patients.,"As mentioned previously, many breast cancer patients are known to suffer psychological distress that is related to positive affect, and we believed this made a gratitude intervention particularly appropriate for breast cancer patients. We are aware of three studies that have verified relationships between gratitude expressed by breast cancer patients and their well-being, two were correlational (Algoe and Stanton, 2012; Ruini and Vescovelli, 2013) and one was experimental (Otto et al., 2016). The main objective of the study was to determine if a gratitude intervention, similar to the one introduced by Emmons and McCullough (2003), could improve the daily psychological functioning of oncological patients. Women who took part in the experiment had been diagnosed with, and had been treated for, breast cancer. On the first day of the study, trait measures (such as anxiety, acceptance of illness, coping, well-being) were taken in order to control the dispositional differences between participants. We are aware of three studies that have verified relationships between gratitude expressed by breast cancer patients and their well-being, two were correlational (Algoe and Stanton, 2012; Ruini and Vescovelli, 2013) and one was experimental (Otto et al., 2016). Each of the three studies suggests that gratitude interventions may help women who have breast cancer.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6582750/,TRUE,#CHOOSE#
It's even been shown to improve the well-being of breast cancer patients.,"Most health care organization-based interventions to enhance breast cancer treatment among minority women focus on expediting treatment initiation rather than improving quality of breast cancer care or survivorship care. Of the interventions we initially identified, one described a controlled trial but did not report results (Hiatt et al. 2001), one described an uncontrolled patient navigator intervention (Burhansstipanov et al. Only two studies met our criteria for health care organization-based studies to improve breast cancer treatment (Ell et al. 2002; Goodwin et al. 2003). In the Ell et al. study, a sociomedical model of case management increased the number of patients who received breast cancer treatment within 30 days of diagnosis. While this effect was not statistically significant, it suggests that comprehensive case management, including assistance with scheduling and child or elder care, as well as evaluation and treatment for depression and anxiety, can facilitate treatment initiation among minority women. Chart-based reminders increase physician adherence to mammography guidelines but are less effective at increasing clinical breast examination. Several trials demonstrate that case management is an effective strategy for expediting diagnostic testing after screening abnormalities have been found. Additional support for these and other proven health care organization-based interventions appears justified and may be necessary to eliminate racial and ethnic breast cancer disparities.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2657605/,TRUE,#CHOOSE#
