utterance_id,utterance_text,is_check_worthy_claim,relevance_level
2458586,Coming up on this episode of The Doctor's Pharmacy.,False,
2458587,"If your cortisol is high in the afternoon or high in the evening, you might feel tired and wired.",True,High
2458588,"You want to sleep, but you can't.",False,
2458589,"Or you might fall asleep because you're really tired, and then you wake up in the middle of the night.",False,
2458590,"Hi, everyone.",False,
2458591,It's Dr. Mark.,False,
2458592,"As a functional medicine doctor looking at hormones, organic acids, nutrient levels, inflammatory factors, gut bacteria, and so many other internal variables, it helps Dr. Mark find the most effective path to health and healing for Dr. Mark's patients.",False,Low
2458593,"But such extensive testing can be very complicated and time-consuming for both the practitioner, somebody like a functional medicine doctor looking at hormones, organic acids, nutrient levels, inflammatory factors, gut bacteria, and so many other internal variables, and our patients.",False,
2458594,"But lab ordering became very quick and painless since a functional medicine doctor looking at hormones, organic acids, nutrient levels, inflammatory factors, gut bacteria, and so many other internal variables started using Rupa Health.",False,
2458595,"a functional medicine doctor looking at hormones, organic acids, nutrient levels, inflammatory factors, gut bacteria, and so many other internal variables can order, track, and get results from over 35 different lab companies within a few clicks in one lab portal.",False,Low
2458596,And this means one invoice for all labs paid online up front.,False,
2458597,"Plus, patients get practitioner pricing and receive full patient support through easier, personalized collection instructions, automated follow-up, super bills, and answers to testing questions, and so much more.",False,
2458598,"And best of all, Rupa Health's free for practitioners.",False,
2458599,So sign up free today.,False,
2458600,You can find out more information by going to rupahealth.com.,False,
2458601,That's R-U-P-A health dot com.,False,
2458602,"Dr. Mark recently found a new drink that fits into Dr. Mark's Pegan diet, and a new drink that fits into my Pegan diet's honestly something Dr. Mark always look forward to when Dr. Mark need a nourishing pick-me-up.",False,
2458603,a new drink that fits into my Pegan diet's Sun Goddess Matcha Green Tea from Peak.,False,
2458604,"a new drink that fits into my Pegan diet's the best tasting, smoothest mixing matcha Dr. Mark ever tried.",False,
2458605,"Dr. Mark'm sure you heard Dr. Mark talk a lot about using food as medicine, and matcha is a great example of this.",False,
2458606,"matcha's full of polyphenols, which are essentially powerful plant chemicals that are good for your gut bugs, polyphenols, which are essentially powerful plant chemicals that are good for your gut bugs're great for detoxification, for cancer prevention, and so many great antioxidants that support better aging, a balanced blood sugar digestion, and a good immune system.",True,High
2458607,Dr. Mark love blending the Sun Goddess Matcha powder with some hemp or oat milk into a creamy latte as part of Dr. Mark's morning ritual.,False,
2458608,"But Dr. Mark've also used the Sun Goddess Matcha powder in Dr. Mark's recipes like matcha poppy bread or various smoothies, and the Sun Goddess Matcha powder works great every time.",False,
2458609,"a new drink that fits into my Pegan diet's also the only matcha that's 100% organic, ceremonial grade, and quadruple toxin screened for purity.",False,
2458610,Matcha makes a great alternative to coffee because Matcha provides sustained clean energy without the jitters.,True,Medium
2458611,"L-theanine is a powerful amino acid in matcha that helps you feel calm, focused, and clear",True,High
2458612,"L-theanine is a powerful amino acid in matcha that helps you feel calm, focused, and clear so you get a boost without the crash.",True,Medium
2458613,Peak Sun Goddess Matcha actually contains more theanine chlorophyll because Peak shade Peak's matcha plants 35% longer than other brands.,True,Low
2458614,Dr. Mark really do feel awake and focused and balanced after enjoying Dr. Mark's matcha every morning.,False,
2458615,"Right now, you can take advantage of Peak's limited time special offer on your first month's supply of Peak.",False,
2458616,Just head over to peaklife.com for 15% off and free shipping on your first month's supply of Peak Sun Goddess Matcha.,False,
2458617,You won't find a better deal anywhere.,False,
2458618,"Now, let's get back to this week's episode of The Doctor's Pharmacy.",False,
2458619,Welcome to The Doctor's Pharmacy.,False,
2458620,I'm Dr. Mark Hyman.,False,
2458621,That's pharmacy with an F in place for conversations that matter.,False,
2458622,"Today, I'm bringing you a health bite to improve your health because taking small steps every day can lead to significant change over time.",False,
2458623,"Today, we're going to talk about sleep and not just sleep problems in general, but why we may wake up between 1 and 4 in the morning and how you can fix that because a lot of times people have restless sleep.",False,
2458624,people wake up at night.,False,
2458625,"people can't go back to sleep and it really affects the quality of people's health, people's life and everything else.",False,Medium
2458626,"Sleep is critical to our health, to longevity, to our mental health, to basically every physiological function we have and it really is important to fix Sleep.",False,Medium
2458627,Let's talk about what you can do to stay asleep and to sleep more deeply.,False,
2458628,"So, we know that poor sleep makes us less productive, poor sleep makes us tired, hard to focus.",False,Medium
2458629,"Basically, having sleep deprivation is basically equivalent to being drunk.",False,Medium
2458630,"In terms of your performance, you know, Dr. Mark read a study once where they were snipers who were, you know, excellent shots and if snipers who were, you know, excellent shots had 8 hours sleep, snipers who were, you know, excellent shots were like 100% accurate.",False,Medium
2458631,"If snipers who were, you know, excellent shots had 7 hours sleep, snipers who were, you know, excellent shots were like 95% accurate.",False,
2458632,"If snipers who were, you know, excellent shots had 6 hours sleep, snipers who were, you know, excellent shots were like 70% accurate and if snipers who were, you know, excellent shots were like less than 6 hours sleep, snipers who were, you know, excellent shots were basically like 50%, it's like almost a hit and miss.",False,
2458633,"So, not good even when you're an expert in something, you can't function when you're tired.",False,
