utterance_id,utterance_text,is_check_worthy_claim,relevance_level
2461333,"Welcome back to the Ancient Health Podcast, where we educate you on real health solutions that will help transform the way you live, feel, and overcome disease naturally.",False,
2461334,"I'm your host, Courtney Versage, along with Dr. Josh Axe and Dr. Chris Motley.",False,
2461335,We're so happy you've joined us.,False,
2461336,Let's dive into today's episode.,False,
2461337,"Hey, everybody.",False,
2461338,Welcome back.,False,
2461339,"the Ancient Health Podcast, where we educate you on real health solutions that will help transform the way you live, feel, and overcome disease naturally is the Ancient Health Podcast.",False,
2461340,"My name is Courtney, and I'm so glad that you've joined me today's.",False,
2461341,"I have to be honest, I have a special guest in the studio with me today's.",False,
2461342,today's episode is a special guest's first podcast.,False,
2461343,a special guest might be a little bit nervous.,False,
2461344,"So far, a special guest has tried to escape two different times, and a special guest's being forced against a special guest's will to join me.",False,
2461345,a special guest is not actually a human guest.,False,
2461346,a special guest is Bodhi.,False,
2461347,I would say that a special guest's a dog.,False,
2461348,"Maybe by genetics, a special guest is a dog.",False,
2461349,"But if you're needing a visual, a special guest is somewhat of a combination of the squirrel from Ice Age.",False,
2461350,You know the one with the big eyes that's always running around with the nut that the squirrel from Ice Age carries around?,False,
2461351,a special guest's kind of like half the squirrel from Ice Age.,False,
2461352,"And then if you are familiar, if you have kids and you know the movie, Lilo and Stitch, a special guest is Stitch, kind of crazy, also big eyes, kind of a big head, big ears.",False,
2461353,"So if you're walking, if you're out listening to this, you cannot see a special guest, that's kind of a good visual for you.",False,
2461354,So a special guest's quite the character.,False,
2461355,"But I bring a special guest on today's not because Dr. Motley is unavailable to join me for today's episode and he's the stand-in, but because we're actually talking about our pets.",False,
2461356,"We're going to talk about how dogs, specifically cats, dogs, specifically cats kind of fit the bill too.",False,
2461357,But some of the data that we're going to look at really looks at the influence of dogs in the house on our microbiome.,False,
2461358,And what's interesting is that animals really have always lived with humans.,False,Low
2461359,"Up until this really industrialized age, we've always cohabitated because we've relied on animals for...",False,
2461360,"Yeah, a special guest.",False,
2461361,Okay.,False,
2461362,a special guest's so excited to be here.,False,
2461363,I'm glad a special guest finally spoke up.,False,
2461364,a special guest's a little shy.,False,
2461365,But we've always grown up with animals because animals have been a part of how we live.,False,Medium
2461366,"We utilize animals for food, we utilize animals to help manage crops, to ultimately regenerate our soil.",False,Medium
2461367,"There's so many purposes for animals beyond just animals's companionship, which is a great benefit to our health too.",True,Low
2461368,"And today's episode, we're not going to talk about so many purposes for animals beyond just their companionship, which is a great benefit to our health too specifically, maybe we'll do another one.",False,
2461369,But what I want to focus on is how pets can influence your microbiome because pets bring so much to the table.,False,
2461370,"If you think about our animals, our animals're actually out making contact with the dirt and the soil and our animals're bringing the dirt and the soil into our house.",False,
2461371,"So animals are bringing things in from the outdoors, things that we normally wouldn't be probably exposed to.",False,
2461372,Most of us aren't running around our yard and putting our hands in the dirt.,False,
2461373,We're not really even grounding.,False,
2461374,We're just inside these sterile environments.,False,
2461375,We're not getting access to nature.,False,
2461376,And animals actually bring a lot of nature into our homes.,False,
2461377,But a lot of the studies that have been done on the influence of dogs on our health really relate to children.,False,
2461378,"And I found this so fascinating because there are a lot of people that maybe have kids and they also have pets or maybe think that, hey, pets might be a problem for my child.",False,
2461379,What if my dog gets my child sick?,False,
2461380,What if my cat gets my child sick?,False,
2461381,"And yes, you're exactly right to have concern because animals do have the ability to carry parasites and worms and things like parasites and worms.",False,Medium
2461382,But what you've got to realize too is that animals bring a lot of microbial diversity.,False,High
2461383,And a lot of microbial diversity's something that your child can share from.,False,
2461384,"Because in those early years, the first years, we're talking from infancy and birth all the way up to the first two and three years, their microbiome is heavily influenced by the environment that they're raised in.",False,Medium
2461385,And so I want to bring to light a couple of things.,False,
2461386,"This might be something to consider, especially if maybe you're starting a family, maybe you have children, maybe you have a spouse that doesn't love animals.",False,
2461387,"I'm not going to say that a special guest is unloved in this house, but I can tell you that a special guest has more love from some of us than a special guest does others.",False,
2461388,"a special guest's also, okay, just a side note, a special guest is like one and a half years old.",False,
2461389,a special guest's completely untrained.,False,
2461390,"a special guest doesn't know a single command, and a special guest pretty much does whatever a special guest wants.",False,
2461391,So I'm okay with it.,False,
2461392,I have all the love in the world for Bodhi.,False,
2461393,Bodhi's like my sidekick.,False,
2461394,"However, not everybody feels the same way about Bodhi, including other family members.",False,
2461395,"Bodhi gets love from me, but I feel like that's enough.",False,
2461396,And Bodhi and I have a very strong bond and relationship.,False,
2461397,"So all right, Bodhi, do Bodhi feel good about that?",False,
2461398,"Okay, so let's get into the data.",False,
2461399,"So when we're talking about infants and babies, the microbial composition is shaped by a number of factors.",False,
2461400,"And a number of factors includes gestational age, the type of delivery that infants and babies had, so whether infants and babies were born vaginally or cesarean, and then the type of diet.",False,
2461401,"So if you think about, are infants and babies breastfed or are infants and babies formula fed?",False,
2461402,"And even if infants and babies've been exposed to antibiotics, because we have a number of children and children get sick in those first few months of life, and all of a sudden it's one antibiotic after another, which is just wiping out children's gut microbiome.",False,
2461403,So microbial composition in infants is actually very low in terms of diversity.,True,High
2461404,"So it's so critical in those first few months of life that infants get flooded with these good bacteria, these good microbes to help build some resiliency because infants's immune system depends on it.",True,High
2461405,"And even beyond that, infants's brain health, infants's hormones, like all of these things are the linchpin is infants's gut.",True,High
2461406,"I mean, Hippocrates says all disease begins in the gut.",True,High
2461407,And that's so true because the gut is the cornerstone element.,True,High
2461408,"If your gut health is not intact, if your gut health is not resilient and strong, you are going to suffer in so many downstream ways.",True,High
2461409,So there was this thing called the hygiene hypothesis.,False,
2461410,this thing called the hygiene hypothesis was first brought up in the late like 1980s.,False,
2461411,"And there were a bunch of epidemiological studies that were done that attribute the risk of allergic disease to overly hygienic environments, which this makes sense, right?",False,
2461412,"If you think about any newborn child being brought into a home, any newborn child're not going outside.",False,
2461413,any newborn child're not getting exposed to a lot of different things in the environment.,False,
2461414,And our homes have become increasingly sterilized.,False,Medium
2461415,We have all these cleaning chemicals.,False,
2461416,"We have chemicals that are on our furniture, that are in the paint on the walls.",False,Medium
2461417,"All of these things contribute to toxins, which toxins can modulate.",False,Medium
2461418,Toxins can change the microbiome.,True,Medium
2461419,So this thing called the hygiene hypothesis was first proposed in the late like 1980s.,False,
2461420,"And the idea is that as we become more sterilized in our homes and in our just overall environment, the risk of disease has actually increased.",True,High
2461421,There's further evidence that gut microbial dysbiosis during infancy is associated with the development of allergic disease specifically.,True,High
2461422,"And this is really because after a child is born, a lot of times a child are exposed to nothing but just the inside of a child's homes, right?",False,
2461423,"Because a lot of infants, I mean, granted, mom might be outside taking mom's baby for a walk, but for the most part, a lot of infants are only exposed to the things that are indoors.",False,
2461424,"And our indoor living environment has been proved to be far more toxic, including the air that we're breathing, right?",True,Medium
2461425,"Because of all the off-gassing, so many different things that are in our homes.",False,Medium
2461426,"On top of that, we have all of these different cleaning agents, these cleaning chemicals that are disrupting a lot of flora inside our homes.",False,Medium
2461427,"So despite rapid microbial colonization of the gut after birth, environmental microbes in the early postnatal period represent a critical exposure for early life immune programming.",True,High
2461428,And we find that this can have long-term consequences.,False,
2461429,So I'm going to go through a couple of studies because I found a couple of studies really interesting.,False,
2461430,"a couple of studies did a pooled analysis of about 7,000 households that documented dog ownership during the first two years of life and found that there was reduced sensitization to allergens in early childhood.",True,Medium
2461431,"So this is really interesting, right?",False,
2461432,"7,000 households were polled, but a couple of studies found that in the first two years of life, there was a strong correlation for a reduction of allergies.",False,
2461433,"Now I want to point this out because there are so many children, there's even a lot of adults, right?",False,
2461434,That deal with allergies.,False,
2461435,"Allergies, Allergies's not an allergen or an antigen problem.",False,
2461436,So Allergies's not a pollen problem.,False,
2461437,It's not tree leaves that are getting dried up and falling down.,False,
2461438,Allergies's not a problem of the environment.,False,Medium
2461439,Allergies's a dysregulation of our immune system.,True,High
2461440,Allergies is an immune system problem.,True,High
2461441,So we've got to be able to address Allergies because a lot of times we're always just looking to...,False,
2461442,So we've got to be able to address Allergies because a lot of times we're always just looking to... Bodhi is really getting into this now.,False,
2461443,Bodhi's getting super comfortable with this whole podcast thing.,False,
2461444,"So we've got to look at regulating the immune system, right?",False,
2461445,Because that's part of the problem.,False,
2461446,"On top of that, studies did this meta-analysis, six different studies that evaluated prenatal exposure.",False,
2461447,"Okay, so now we've looked at these 7,000 households that were basically evaluating whether or not homes with pets, when children were brought into the home, what that did to children's microbiome.",False,Low
2461448,"How did that alter these 7,000 households that were basically evaluating whether or not homes with pets, when children were brought into the home's microbiome for the better or for the worse?",False,
2461449,Now we're looking at prenatal exposures.,False,
2461450,"And I find this really interesting too, because we're just looking at mom, and we know that the baby's microbiome begins in pregnancy, in utero, but they also found a strong correlation of prenatal exposures to pets in how that correlates to the microbiome and the diversity of flora within an infant.",False,High
2461451,And what they found is they had lowered IgE levels until two years of age following pet exposure during pregnancy.,False,
