utterance_id,utterance_text,is_check_worthy_claim,relevance_level
2465307,Hello and welcome to this podcast from the BBC World Service.,False,
2465308,Please let the BBC World Service know what you think and tell other people about the BBC World Service on social media.,False,
2465309,Podcasts from the BBC World Service are supported by advertising.,True,Low
2465310,How does AI even work?,False,
2465311,Where does creativity come from?,False,
2465312,What's the secret to living longer?,False,
2465313,TED Radio Hour explores the biggest questions with some of the world's greatest thinkers.,False,
2465314,"some of the world's greatest thinkers will surprise, challenge and even change you.",False,
2465315,Listen to TED Radio Hour wherever you get your podcasts.,False,
2465316,"We would all like some quick and simple ways to improve our health, but we're inundated with often conflicting advice.",False,
2465317,"So if you were going to try just one thing to improve your mental and physical well-being, what should just one thing be?",False,
2465318,Perhaps the martial art of Tai Chi to improve your immune system.,False,
2465319,Maybe a few nuts to slow aging.,False,
2465320,Or how about cleaning your teeth to give your brain a boost?,False,
2465321,"I'm Dr Michael Moseley and this podcast from the BBC World Service is Just One Thing, where each episode we'll explore one thing you can start doing today to improve your health or life in ways you might not expect.",False,
2465322,It's lunchtime,False,
2465323,It's lunchtime and I'm throwing together a vegetarian curry.,False,
2465324,I've got the onions here and now the onions go into the frying pan.,False,
2465325,You can hear the onions sizzle away.,False,
2465326,Leave that for a moment.,False,
2465327,And now to the most important part.,False,
2465328,I'm about to add in something that could boost my mood and my memory and something that could boost my mood and my memory may even reduce inflammation.,False,
2465329,I'm adding turmeric.,False,
2465330,"You can buy it fresh or as a dried spice, which is what I'm using, or even take it as a supplement.",False,
2465331,"Okay, I think the onions are looking rather golden now and time to add in the turmeric powder.",False,
2465332,"Wow, the turmeric powder's got a wonderfully bright colour and quite a strong aroma as well.",False,
2465333,"Now, turmeric is a close relative of ginger and if you buy turmeric fresh, turmeric has a similar knobbly, root-like look, but inside turmeric's this vibrant yellow-orange.",False,Low
2465334,The colour comes from a substance within turmeric called curcumin and a substance within it called curcumin's the compound scientists think is the key to turmeric's benefits for the brain and body.,True,High
2465335,"Turmeric has been widely used for millennia in many parts of the world's, especially in Southeast Asia, not just for cooking but also as medicine and there is new research showing Turmeric could be especially beneficial for some types of pain.",True,High
2465336,So is Turmeric something you'd like to use more?,False,
2465337,"I'm speaking to Yushi, an office worker.",False,
2465338,"Let's see if spicing up Yushi, an office worker's life with turmeric is just one thing Yushi, an office worker'd like to do.",False,
2465339,Hi there.,False,
2465340,Hello.,False,
2465341,"Now, first of all, do Yushi, an office worker enjoy cooking?",False,
2465342,"Yushi, an office worker do enjoy cooking",False,
2465343,"Yushi, an office worker do enjoy cooking but Yushi, an office worker wish Yushi, an office worker had a bit more time to try different recipes.",False,
2465344,"Right, and have Yushi, an office worker ever cooked with turmeric before?",False,
2465345,"Yushi, an office worker haven't actually.",False,
2465346,"Yushi, an office worker've been wanting to incorporate more spices in Yushi, an office worker's cooking.",False,
2465347,"Turmeric, as you may well know, is widely used in curries",True,Low
2465348,"Turmeric, as you may well know, is widely used in curries but it's also delicious in scrambled eggs, soups and yogurts or a turmeric pancake.",False,Low
2465349,"What Yushi, an office worker want you to do is to add one teaspoon a day to your cooking, could be breakfast, lunch or supper, however you want to do it, but one teaspoon a day.",False,
2465350,"Do Yushi, an office worker think Yushi, an office worker can manage that?",False,
2465351,That sounds okay.,False,
2465352,"Yeah, Yushi, an office worker'm definitely up for giving it a go.",False,
2465353,Be aware that it is a very bright yellow colour and it can stain.,False,Low
2465354,That sounds good.,False,
2465355,Thanks for the heads up.,False,
2465356,"I've asked Yushi, an office worker to spice things up with turmeric because turmeric not only adds colour and flavouring to food, turmeric's also been linked to some surprising health claims, from boosting attention and working memory to improving asthma and eczema.",True,High
2465357,The link between turmeric and health is nothing new.,True,Medium
2465358,turmeric's been used in ancient Ayurvedic medicine for thousands of years to alleviate liver problems and digestive ailments.,True,High
2465359,"Over the last couple of decades or so, scientific research into turmeric and in particular into its active ingredient curcumin has exploded, with lots of studies exploring the health effects of turmeric.",True,High
2465360,And some of the findings have been impressive.,False,
2465361,Let's start with the brain.,False,
2465362,"A Singaporean study in 2022, following 2,700 older people for nearly five years, found those who ate a lot of turmeric-rich curries, like korma, kept those who ate a lot of turmeric-rich curries, like korma's brains in better shape, when measured for things like working memory and problem-solving, than those who didn't.",True,High
2465363,"The authors suggest that it's the curcumin, which is a polyphenol in the turmeric, which is responsible for these positive effects.",True,High
2465364,"Now, a big problem with curcumin is that normally very little of curcumin gets absorbed.",False,Medium
2465365,"So The authors think that one of the reasons why The authors saw such good results in The authors's study is because when you consume curcumin with fat and certain spices, this helps your body to absorb more of curcumin.",True,High
2465366,It's a great excuse to add curcumin to curry.,False,
2465367,"And if you don't fancy curry, then you might consider a curcumin supplement.",False,
2465368,"In an Australian study where they gave curcumin in pill form to 80 older individuals, they found that compared to placebo, taking curcumin in pill form improved working memory and reduced fatigue.",True,High
2465369,One way curcumin in pill form might be working is by reducing inflammation.,True,High
2465370,"In a recent Japanese study where overweight but otherwise healthy participants were randomly allocated to placebo or curcumin extract, they found those taking curcumin extract had lower levels of an inflammatory marker in the blood called C-reactive protein.",True,High
2465371,"And as we'll discover in a moment, it appears turmeric can also relieve pain.",True,High
2465372,I'll be delving into that with an expert shortly.,False,
2465373,"But first, let's check in with Yushi, an office worker.",False,
2465374,The first recipe I tried was the chicken korma and the taste was really good overall.,False,
2465375,It was a nice bright yellow colour.,False,
2465376,It did stain things.,False,
2465377,The wooden spoon that I use for cooking is now just permanently yellow.,False,
2465378,"The challenges really inspired Yushi, an office worker to be a bit more adventurous with the food that Yushi, an office worker make.",False,
2465379,Yushi'm looking forward to the rest of the week.,False,
2465380,"We'll catch up with Yushi, an office worker at the end of the week and see if Yushi, an office worker can find some tasty ways to incorporate turmeric into Yushi, an office worker's diet.",False,
2465381,"But now to get the lowdown on turmeric, I'm speaking to Dr Benny Antony from the Menzies Institute of Medical Research at the University of Tasmania in Australia.",False,
2465382,G'day.,False,
2465383,"Good day, Michael.",False,
2465384,"Now, what would Dr Benny Antony from the Menzies Institute of Medical Research at the University of Tasmania in Australia say are the main benefits of turmeric?",False,
2465385,"Turmeric has been used for centuries in Ayurvedic medicine, that is a traditional Indian medicine, as well as traditional Chinese medicine.",True,Medium
2465386,"But only recently, people have identified the active components such as the curcumin.",False,
2465387,So turmeric has been mainly known as an anti-inflammatory agent.,True,High
2465388,It is also known to be an antioxidant.,True,High
2465389,"Therefore, it can be useful for chronic conditions.",True,Medium
2465390,It's also got antifungal properties and some wound healing properties.,True,High
2465391,So what not?,False,
2465392,It's got many properties.,False,
2465393,"Now, Michael know you have done clinical trials looking at the benefits of using turmeric in arthritis.",False,
2465394,Can Dr Benny Antony from the Menzies Institute of Medical Research at the University of Tasmania in Australia tell Michael about clinical trials looking at the benefits of using turmeric in arthritis?,False,
2465395,So clinical trials looking at the benefits of using turmeric in arthritis involved 70 patients.,False,
2465396,So Dr Benny Antony from the Menzies Institute of Medical Research at the University of Tasmania in Australia selected patients based on pain as well as based on the joint inflammation.,False,
2465397,So Dr Benny Antony from the Menzies Institute of Medical Research at the University of Tasmania in Australia randomized 35 people into placebo group and 35 people into the active group who received the turmeric extract.,False,
2465398,And then Dr Benny Antony from the Menzies Institute of Medical Research at the University of Tasmania in Australia followed 70 patients over 12 weeks.,False,
2465399,And Dr Benny Antony from the Menzies Institute of Medical Research at the University of Tasmania in Australia found that the participants who were taking the turmeric extract had relief in pain compared to placebo group.,True,High
2465400,"Obviously, both placebo and treatment group both reduced the knee pain.",False,High
2465401,But treatment group had a further reduction compared to placebo group.,False,High
2465402,Right.,False,
2465403,"Because we know the placebo effect is very powerful, particularly in pain.",False,Medium
2465404,"So oddly enough, you would actually have to be quite impressive to outdo placebo in this context.",False,
2465405,And did it affect the amount of pain medication 35 people into the active group who received the turmeric extract were taking?,False,
2465406,"Yeah, that's one of the interesting or secondary outcomes of clinical trials looking at the benefits of using turmeric in arthritis was that there was a reduction in the number of medications which 70 patients were taking for 70 patients's knee pain.",True,High
2465407,So how does turmeric compare to a standard painkiller like ibuprofen?,False,
2465408,"In our trial, we did not really compare turmeric extract with a non-steroidal anti-inflammatory drug.",False,
2465409,"However, we can indirectly compare the effect size of the treatment.",False,
2465410,That means we found a modest effect of the treatment compared to placebo.,False,Medium
2465411,"And similarly, the non-steroidal anti-inflammatory drugs such as ibuprofen have got only a modest effect.",True,Medium
2465412,-steroidal anti-inflammatory drugs such as ibuprofen seems to have a lot of contraindications.,False,
2465413,That means Non-steroidal anti-inflammatory drugs such as the ibuprofen cannot be taken in older patients.,True,Medium
2465414,And a lot of Non-steroidal anti-inflammatory drugs such as the ibuprofen have more severe adverse events such as the gastrointestinal bleeding or cardiovascular events.,True,Medium
2465415,"So compared to the non-steroidal anti-inflammatory drugs such as the ibuprofen, there seems to be no adverse event for turmeric extract.",True,High
2465416,Right.,False,
2465417,Did you also see an anti-inflammatory effect?,False,
2465418,Did 70 patients actually have less inflammation in the joint?,False,
2465419,the Menzies Institute of Medical Research at the University of Tasmania in Australia did not find a significant difference in local inflammation.,False,Medium
2465420,And the Menzies Institute of Medical Research at the University of Tasmania in Australia also tested whether the turmeric consumption led to a reduction in the inflammatory markers in the bloodstream.,False,High
2465421,And an expert did not find a significant effect of the inflammatory markers in the bloodstream.,False,
2465422,Because of the treatment of turmeric.,False,
2465423,So it's possible there is something else going on.,False,
2465424,That turmeric is not necessarily acting by reducing inflammation.,False,High
2465425,What do Dr Benny Antony from the Menzies Institute of Medical Research at the University of Tasmania in Australia think that something else might be?,False,
2465426,So there is possibly other mechanisms that could have explained the reduction in pain.,False,
2465427,Some studies suggest that turmeric might have an effect in the gut-brain axis that turmeric extracts.,True,High
2465428,Especially the curcumin can actually improve a certain type of bacterial colony which reduces the inflammation.,True,High
2465429,So there is plenty of other evidence to say that turmeric can reduce inflammation in a systemic level and which is evidenced in the inflammatory markers in the bloodstream as well.,True,High
2465430,OK.,False,
2465431,Now you are obviously focusing on osteoarthritis which is an inflammatory condition in the knee.,False,
2465432,Do Michael think it could be beneficial for other types of pain?,False,
2465433,So what we have found that it's been effective for acute pain as well.,True,High
