utterance_id,utterance_text,is_check_worthy_claim,relevance_level
2461333,"Welcome back to the Ancient Health Podcast, where we educate you on real health solutions that will help transform the way you live, feel, and overcome disease naturally.",FALSE,
2461334,"I'm your host, Courtney Versage, along with Dr. Josh Axe and Dr. Chris Motley.",FALSE,
2461335,We're so happy you've joined us.,FALSE,
2461336,Let's dive into today's episode.,FALSE,
2461337,"Hey, everybody.",FALSE,
2461338,Welcome back.,FALSE,
2461339,"the Ancient Health Podcast, where we educate you on real health solutions that will help transform the way you live, feel, and overcome disease naturally is the Ancient Health Podcast.",FALSE,
2461340,"My name is Courtney, and I'm so glad that you've joined me today's.",FALSE,
2461341,"I have to be honest, I have a special guest in the studio with me today's.",FALSE,
2461342,today's episode is a special guest's first podcast.,FALSE,
2461343,a special guest might be a little bit nervous.,FALSE,
2461344,"So far, a special guest has tried to escape two different times, and a special guest's being forced against a special guest's will to join me.",FALSE,
2461345,a special guest is not actually a human guest.,FALSE,
2461346,a special guest is Bodhi.,FALSE,
2461347,I would say that a special guest's a dog.,FALSE,
2461348,"Maybe by genetics, a special guest is a dog.",FALSE,
2461349,"But if you're needing a visual, a special guest is somewhat of a combination of the squirrel from Ice Age.",FALSE,
2461350,You know the one with the big eyes that's always running around with the nut that the squirrel from Ice Age carries around?,FALSE,
2461351,a special guest's kind of like half the squirrel from Ice Age.,FALSE,
2461352,"And then if you are familiar, if you have kids and you know the movie, Lilo and Stitch, a special guest is Stitch, kind of crazy, also big eyes, kind of a big head, big ears.",FALSE,
2461353,"So if you're walking, if you're out listening to this, you cannot see a special guest, that's kind of a good visual for you.",FALSE,
2461354,So a special guest's quite the character.,FALSE,
2461355,"But I bring a special guest on today's not because Dr. Motley is unavailable to join me for today's episode and he's the stand-in, but because we're actually talking about our pets.",FALSE,
2461356,"We're going to talk about how dogs, specifically cats, dogs, specifically cats kind of fit the bill too.",FALSE,
2461357,But some of the data that we're going to look at really looks at the influence of dogs in the house on our microbiome.,FALSE,
2461358,And what's interesting is that animals really have always lived with humans.,FALSE,
2461359,"Up until this really industrialized age, we've always cohabitated because we've relied on animals for...",FALSE,
2461360,"Yeah, a special guest.",FALSE,
2461361,Okay.,FALSE,
2461362,a special guest's so excited to be here.,FALSE,
2461363,I'm glad a special guest finally spoke up.,FALSE,
2461364,a special guest's a little shy.,FALSE,
2461365,But we've always grown up with animals because animals have been a part of how we live.,FALSE,
2461366,"We utilize animals for food, we utilize animals to help manage crops, to ultimately regenerate our soil.",FALSE,
2461367,"There's so many purposes for animals beyond just animals's companionship, which is a great benefit to our health too.",FALSE,
2461368,"And today's episode, we're not going to talk about so many purposes for animals beyond just their companionship, which is a great benefit to our health too specifically, maybe we'll do another one.",FALSE,
2461369,But what I want to focus on is how pets can influence your microbiome because pets bring so much to the table.,FALSE,
2461370,"If you think about our animals, our animals're actually out making contact with the dirt and the soil and our animals're bringing the dirt and the soil into our house.",FALSE,
2461371,"So animals are bringing things in from the outdoors, things that we normally wouldn't be probably exposed to.",FALSE,
2461372,Most of us aren't running around our yard and putting our hands in the dirt.,FALSE,
2461373,We're not really even grounding.,FALSE,
2461374,We're just inside these sterile environments.,FALSE,
2461375,We're not getting access to nature.,FALSE,
2461376,And animals actually bring a lot of nature into our homes.,FALSE,
2461377,But a lot of the studies that have been done on the influence of dogs on our health really relate to children.,FALSE,
2461378,"And I found this so fascinating because there are a lot of people that maybe have kids and they also have pets or maybe think that, hey, pets might be a problem for my child.",FALSE,
2461379,What if my dog gets my child sick?,FALSE,
2461380,What if my cat gets my child sick?,FALSE,
2461381,"And yes, you're exactly right to have concern because animals do have the ability to carry parasites and worms and things like parasites and worms.",FALSE,
2461382,But what you've got to realize too is that animals bring a lot of microbial diversity.,FALSE,
2461383,And a lot of microbial diversity's something that your child can share from.,FALSE,
2461384,"Because in those early years, the first years, we're talking from infancy and birth all the way up to the first two and three years, their microbiome is heavily influenced by the environment that they're raised in.",FALSE,
2461385,And so I want to bring to light a couple of things.,FALSE,
2461386,"This might be something to consider, especially if maybe you're starting a family, maybe you have children, maybe you have a spouse that doesn't love animals.",FALSE,
2461387,"I'm not going to say that a special guest is unloved in this house, but I can tell you that a special guest has more love from some of us than a special guest does others.",FALSE,
2461388,"a special guest's also, okay, just a side note, a special guest is like one and a half years old.",FALSE,
2461389,a special guest's completely untrained.,FALSE,
2461390,"a special guest doesn't know a single command, and a special guest pretty much does whatever a special guest wants.",FALSE,
2461391,So I'm okay with it.,FALSE,
2461392,I have all the love in the world for Bodhi.,FALSE,
2461393,Bodhi's like my sidekick.,FALSE,
2461394,"However, not everybody feels the same way about Bodhi, including other family members.",FALSE,
2461395,"Bodhi gets love from me, but I feel like that's enough.",FALSE,
2461396,And Bodhi and I have a very strong bond and relationship.,FALSE,
2461397,"So all right, Bodhi, do Bodhi feel good about that?",FALSE,
2461398,"Okay, so let's get into the data.",FALSE,
2461399,"So when we're talking about infants and babies, the microbial composition is shaped by a number of factors.",FALSE,
2461400,"And a number of factors includes gestational age, the type of delivery that infants and babies had, so whether infants and babies were born vaginally or cesarean, and then the type of diet.",FALSE,
2461401,"So if you think about, are infants and babies breastfed or are infants and babies formula fed?",FALSE,
2461402,"And even if infants and babies've been exposed to antibiotics, because we have a number of children and children get sick in those first few months of life, and all of a sudden it's one antibiotic after another, which is just wiping out children's gut microbiome.",FALSE,
2461403,So microbial composition in infants is actually very low in terms of diversity.,FALSE,
2461404,"So it's so critical in those first few months of life that infants get flooded with these good bacteria, these good microbes to help build some resiliency because infants's immune system depends on it.",FALSE,
2461405,"And even beyond that, infants's brain health, infants's hormones, like all of these things are the linchpin is infants's gut.",FALSE,
2461406,"I mean, Hippocrates says all disease begins in the gut.",FALSE,
2461407,And that's so true because the gut is the cornerstone element.,FALSE,
2461408,"If your gut health is not intact, if your gut health is not resilient and strong, you are going to suffer in so many downstream ways.",FALSE,
2461409,So there was this thing called the hygiene hypothesis.,FALSE,
2461410,this thing called the hygiene hypothesis was first brought up in the late like 1980s.,FALSE,
2461411,"And there were a bunch of epidemiological studies that were done that attribute the risk of allergic disease to overly hygienic environments, which this makes sense, right?",FALSE,
2461412,"If you think about any newborn child being brought into a home, any newborn child're not going outside.",FALSE,
2461413,any newborn child're not getting exposed to a lot of different things in the environment.,FALSE,
2461414,And our homes have become increasingly sterilized.,FALSE,
2461415,We have all these cleaning chemicals.,FALSE,
2461416,"We have chemicals that are on our furniture, that are in the paint on the walls.",FALSE,
2461417,"All of these things contribute to toxins, which toxins can modulate.",FALSE,
2461418,Toxins can change the microbiome.,FALSE,
2461419,So this thing called the hygiene hypothesis was first proposed in the late like 1980s.,FALSE,
2461420,"And the idea is that as we become more sterilized in our homes and in our just overall environment, the risk of disease has actually increased.",FALSE,
2461421,There's further evidence that gut microbial dysbiosis during infancy is associated with the development of allergic disease specifically.,FALSE,
2461422,"And this is really because after a child is born, a lot of times a child are exposed to nothing but just the inside of a child's homes, right?",FALSE,
2461423,"Because a lot of infants, I mean, granted, mom might be outside taking mom's baby for a walk, but for the most part, a lot of infants are only exposed to the things that are indoors.",FALSE,
2461424,"And our indoor living environment has been proved to be far more toxic, including the air that we're breathing, right?",FALSE,
2461425,"Because of all the off-gassing, so many different things that are in our homes.",FALSE,
2461426,"On top of that, we have all of these different cleaning agents, these cleaning chemicals that are disrupting a lot of flora inside our homes.",FALSE,
2461427,"So despite rapid microbial colonization of the gut after birth, environmental microbes in the early postnatal period represent a critical exposure for early life immune programming.",FALSE,
2461428,And we find that this can have long-term consequences.,FALSE,
2461429,So I'm going to go through a couple of studies because I found a couple of studies really interesting.,FALSE,
2461430,"a couple of studies did a pooled analysis of about 7,000 households that documented dog ownership during the first two years of life and found that there was reduced sensitization to allergens in early childhood.",FALSE,
2461431,"So this is really interesting, right?",FALSE,
2461432,"7,000 households were polled, but a couple of studies found that in the first two years of life, there was a strong correlation for a reduction of allergies.",FALSE,
2461433,"Now I want to point this out because there are so many children, there's even a lot of adults, right?",FALSE,
2461434,That deal with allergies.,FALSE,
2461435,"Allergies, Allergies's not an allergen or an antigen problem.",FALSE,
2461436,So Allergies's not a pollen problem.,FALSE,
2461437,It's not tree leaves that are getting dried up and falling down.,FALSE,
2461438,Allergies's not a problem of the environment.,FALSE,
2461439,Allergies's a dysregulation of our immune system.,FALSE,
2461440,Allergies is an immune system problem.,FALSE,
2461441,So we've got to be able to address Allergies because a lot of times we're always just looking to...,FALSE,
2461442,So we've got to be able to address Allergies because a lot of times we're always just looking to... Bodhi is really getting into this now.,FALSE,
2461443,Bodhi's getting super comfortable with this whole podcast thing.,FALSE,
2461444,"So we've got to look at regulating the immune system, right?",FALSE,
2461445,Because that's part of the problem.,FALSE,
2461446,"On top of that, studies did this meta-analysis, six different studies that evaluated prenatal exposure.",FALSE,
