utterance_id,utterance_text,is_check_worthy_claim
2465095,Hello and welcome to this podcast from the BBC World Service.,FALSE
2465096,Please let the BBC World Service know what you think and tell other people about the BBC World Service on social media.,FALSE
2465097,Podcasts from the BBC World Service are supported by advertising.,FALSE
2465098,How does AI even work?,FALSE
2465099,Where does creativity come from?,FALSE
2465100,What's the secret to living longer?,FALSE
2465101,TED Radio Hour explores the biggest questions with some of the world's greatest thinkers.,FALSE
2465102,"some of the world's greatest thinkers will surprise, challenge and even change you.",FALSE
2465103,Listen to TED Radio Hour wherever you get your podcasts.,FALSE
2465104,"We would all like some quick and simple ways to improve our health, but we're inundated with often conflicting advice.",FALSE
2465105,"So if you were going to try just one thing to improve your mental and physical well-being, what should just one thing be?",FALSE
2465106,Perhaps the martial art of Tai Chi to improve your immune system.,FALSE
2465107,Maybe a few nuts to slow aging.,FALSE
2465108,Or how about cleaning your teeth to give your brain a boost?,FALSE
2465109,"I'm Dr Michael Moseley and this podcast from the BBC World Service is Just One Thing, where each episode we'll explore one thing you can start doing today to improve your health or life in ways you might not expect.",FALSE
2465110,I do a lot of writing in my day job as a journalist and an author.,FALSE
2465111,"But today, sitting at my computer, I'm going to try something very different.",FALSE
2465112,What I'm writing now is not for publication or for sharing with anyone else.,FALSE
2465113,"Now it's called expressive writing and despite the name, it can be done with pen and paper or on the computer as I'm doing now.",FALSE
2465114,"The idea is you put aside 15 minutes to write about your deepest emotions and the thoughts you have about the things that are keeping you up at night, worrying you.",FALSE
2465115,Studies have shown that doing this can have some surprising health benefits.,FALSE
2465116,It can improve your sleep.,FALSE
2465117,"It has a positive impact on many physical ailments like asthma, arthritis.",FALSE
2465118,It's even been shown to improve the well-being of breast cancer patients.,FALSE
2465119,It may even enhance your brain power.,FALSE
2465120,"It's supposed to be particularly effective if you've got a lot on your mind, like Julie from Hull.",FALSE
2465121,Julie from Hull works in the NHS and is very busy.,FALSE
2465122,I think that picking up the pen or the keyboard is just one thing that will give Julie from Hull's health a boost.,FALSE
2465123,"Hi, Julie from Hull.",FALSE
2465124,"Hi, Michael.",FALSE
2465125,"So Michael understand Michael're a bit like Michael, a bit of a warrior.",FALSE
2465126,How often do Michael find Michael just can't stop thinking about something?,FALSE
2465127,It's usually most days at the moment.,FALSE
2465128,Michael think it's due to the fact that Michael'm just so busy and there is just so much to do during the day.,FALSE
2465129,Michael's mind is just full.,FALSE
2465130,What work do you do?,FALSE
2465131,Julie from Hull work for the NHS.,FALSE
2465132,"Right, so it's pretty stressful at the best of times.",FALSE
2465133,"It's very challenging at the moment, yes.",FALSE
2465134,"I work in a non-clinical role, so I'm not patient-facing.",FALSE
2465135,"But even so, there is a lot to do on a day-to-day basis.",FALSE
2465136,"And then when we finish our work, there's obviously the challenges of running a family in a home as well.",FALSE
2465137,So how many kids have Julie from Hull got?,FALSE
2465138,I've just got one boy.,FALSE
2465139,one boy's 14.,FALSE
2465140,Those are the stressful years.,FALSE
2465141,I do remember they become challenging.,FALSE
2465142,"And you also worry about them, don't you?",FALSE
2465143,Absolutely.,FALSE
2465144,They're at such a critical stage in their lives and you worry how that is all going to end up.,FALSE
2465145,Absolutely.,FALSE
2465146,"All Michael can say is, on the whole, they turn out well.",FALSE
2465147,But it doesn't feel like it at the time.,FALSE
2465148,Thank Michael.,FALSE
2465149,That's good to know.,FALSE
2465150,"Well, I'm going to ask Julie from Hull to set aside 15 minutes on three separate occasions over the next week to write down Julie from Hull's thoughts and feelings.",FALSE
2465151,"This sort of expressive writing has all sorts of benefits for your mood, your immune system, and even your memory.",FALSE
2465152,And you should start to feel the benefits within a week.,FALSE
2465153,Sounds good.,FALSE
2465154,I'll give This sort of expressive writing a go.,FALSE
2465155,I've asked Julie from Hull to write down Julie from Hull's thoughts over the next week.,FALSE
2465156,"And that's because expressive writing can be surprisingly beneficial for your brain, your wellbeing, and your life.",FALSE
2465157,"Now, Julie from Hull might think that focusing on things that have gone wrong and writing about things that have gone wrong would make things worse.",FALSE
2465158,But the opposite seems to be true.,FALSE
2465159,"Research suggests that expressive writing can, in fact, reduce negative thoughts.",FALSE
2465160,And boost your mood.,FALSE
2465161,And it doesn't take long.,FALSE
2465162,"In one study, people who were asked to spend 15 minutes writing down people who were asked to spend 15 minutes writing down their thoughts on three separate occasions's thoughts on three separate occasions not only found that doing so improved the quality of people who were asked to spend 15 minutes writing down their thoughts on three separate occasions's sleep, but it also reduced how often people who were asked to spend 15 minutes writing down their thoughts on three separate occasions had negative thoughts.",FALSE
2465163,"Of course, if you've just experienced a significant trauma or are feeling completely overwhelmed, it would be advisable to go to your GP or another health professional.",FALSE
2465164,"But if it's low-level anxiety, the sort of thoughts that are keeping you up at night, expressive writing really could help.",FALSE
