check_worthy_claim,evidence_snippet,article_url,stance
Podcasts from the BBC World Service are supported by advertising.,"Why have adverts started appearing on some of the BBC’s podcasts downloaded outside of the UK? Also, how one female listener did not appreciate hearing what Indian men think. Show more · Listening to programmes from the BBC World Service is increasingly being done “on demand”, breaking from the traditional habit of being tied to a radio schedule. But why have advertisements started appearing on some the BBC’s podcasts downloaded outside of the UK? But why have advertisements started appearing on some the BBC’s podcasts downloaded outside of the UK? Also, how one female listener did not appreciate hearing what Indian men think in a country that is searching its soul after much publicised acts of notorious sexual assaults against women.",https://www.bbc.co.uk/programmes/w3cswlyw,SUPPORTS
Podcasts from the BBC World Service are supported by advertising.,"Mary Hockaday, Controller of BBC World Service English said: “BBC World Service podcasts have become an important, and successful, part of our offer to global audiences. In line with many other international podcast producers we are supporting their production by adding advertising. Global audiences are well used to advertising on the BBC’s World News TV channel and on the bbc.com/news website. The deal marks the first time the BBC has offered advertising around its podcast portfolio. The BBC began producing podcasts in 2004 and is one of the largest podcast producers in the world, with strands across news, drama and entertainment. The deal covers all BBC podcasts available outside the UK, subject to rights restrictions, from the Global News, The Assassination, and World Business Report from the BBC World Service to BBC Radio 4’s In Our Time (the BBC’s first podcast) and 5 Live’s Kermode and Mayo’s Film Review. This is a joint initiative between BBC World Service (English) and BBC Radio & Education, with most BBC podcasts having a single 30 second advertisement at the start of the podcast and a second at the end.",https://podnews.net/press-release/bbc-acast-deal,SUPPORTS
Podcasts from the BBC World Service are supported by advertising.,"This means that even if you listen to a programme that might be several years old, the advertisement will be contemporaneous to the time that the podcast was downloaded. We will be monitoring listener reaction to the advertising, and all comments and complaints should be forwarded to worldservice.letters@bbc.co.uk. No. UK listeners will continue to hear podcasts without advertising as they currently do. We will use the same geo-blocking technology currently used by the BBC to limit services such as iPlayer to UK residents. However, it is possible that a UK resident who travels outside the UK and downloads a podcast locally will hear advertising, just as they would if they visit the BBC News site from abroad. GNL already carry out this service with other advertising on BBC services including display advertising on BBC.com outside the UK. This includes making sure certain categories of advertising are not carried. The BBC will remain fully in control of podcast advertising.",https://www.bbc.co.uk/programmes/articles/4m9PWsXvDfytnSnV06Hrd1V/advertising-on-bbc-podcasts-outside-the-uk,SUPPORTS
Podcasts from the BBC World Service are supported by advertising.,"BBC podcasts are supported by advertising outside the UK, though BBC Sounds remains unavailable to non-UK listeners. The BBC is funded by a mandatory charge of US$200 per UK household in the form of a television licence fee, which earned the corporation $5bn last financial year (p69). Additional commercial income in the same year was $1.6bn from worldwide activities including programme sales. News bulletins on Google Assistant remain unaffected. After a BBC product manager described our report as inaccurate, to which we have responded, the BBC has posted a blog post giving their specific reasons for removal of their podcasts within Google. In offering the public services for supply, and in supplying those services, the BBC must act on a fair, reasonable and non-discriminatory basis.” (¶3.3.2). In recent months, the BBC have been removing some of its podcasts from third-party platforms, and placing them exclusively within their BBC Sounds app. BBC podcasts are supported by advertising outside the UK, though BBC Sounds remains unavailable to non-UK listeners. Google Podcasts does not cache any audio, and therefore the BBC is able to get “meaningful audience data” in terms of total downloads and geo-location information via IP address directly from its own download servers. It’s also able to monetise the podcasts outside the UK correctly. Google serves no advertising throughout the Google Podcasts experience.",https://podnews.net/article/bbc-blocks-google,SUPPORTS
Podcasts from the BBC World Service are supported by advertising.,Ten Unmissable Podcasts from BBC World Service international podcast producers we are supporting their production by adding advertising.,https://www.bbc.com/news/entertainment-arts-43975703,SUPPORTS
"Turmeric has been widely used for millennia in many parts of the world's, especially in Southeast Asia, not just for cooking but also as medicine and there is new research showing Turmeric could be especially beneficial for some types of pain.","Turmeric has been used for thousands of years and has become an integral part of South Asian food, culture and traditional medicine. As a spice, food preservative and colouring agent it has been and continues to be extensively used in India. It is widely consumed as a dietary spice, a dietary pigment, and an Indian folk medicine for the treatment of various illnesses. Global interest in medical/scientific, ethno-botanical and culinary studies relating to the ‘golden spice’ turmeric has significantly increased in the past decade, yet sparse documented information on the uses of turmeric in traditional health remedies, food preparation, crafts and other customs on the African continent specifically, is also noted. Turmeric is not only popular in the country for its culinary and nutritional properties and recently Nigerian scientists have found that extracts of Shea nut oil, ginger and turmeric surpass local herbs for joint pains (https://www.Chukwuma+ Muannya,+The+Guardian+30+April+2015,+Nigeria% 3A+Shea+Nut+Oil,+Turmeric,+Ginger,+Others+ Top+List+of+Local+Plants+for+Joint+Pains). Consistent with global trends, it is also consumed increasingly for digestive ailments by the health conscious Nigerians because of its antioxidant and anti-inflammatory properties (https://guardian.ng/features/ health/turmeric-and-its-medicinal-properties). The nutritional components of turmeric rich in protein, carbohydrates, fibre and many other vitamins and minerals, further justifies its demand on the continent.",https://irispublishers.com/oajaa/fulltext/turmeric-the-golden-spice-from-asia-to-africa.ID.000540.php,SUPPORTS
"Turmeric has been widely used for millennia in many parts of the world's, especially in Southeast Asia, not just for cooking but also as medicine and there is new research showing Turmeric could be especially beneficial for some types of pain.","going to buy it ground, make sure it's all turmeric and not just some of the It has also been shown to stop the spread of some cancers. but it has many",https://repository.poltekkes-kaltim.ac.id/1184/1/27.%20HealingHerbsOfParadise_smaller.pdf,REFUTES
"Turmeric has been widely used for millennia in many parts of the world's, especially in Southeast Asia, not just for cooking but also as medicine and there is new research showing Turmeric could be especially beneficial for some types of pain.","Turmeric, scientifically known as Curcuma longa, is a vibrant and golden-hued spice that has been an integral part of various cultures for thousands of years.",https://www.scentopia-singapore.com/turmeric-medicine-and-perfume-oil.html,SUPPORTS
"Turmeric has been widely used for millennia in many parts of the world's, especially in Southeast Asia, not just for cooking but also as medicine and there is new research showing Turmeric could be especially beneficial for some types of pain.","It was recorded that turmeric was grown wildly in the forest regions of Java, Indonesia as early as 5th century AD. There are Sanskrit texts belong to 5 and 6th centuries AD describe the usages of turmeric. Marco Polo mention the usages of Turmeric in China. Turmeric is widely cultivated mainly in India , China, Taiwan, Indonesia, Sri Lanka, Java, Brazil, Peru, many parts of Africa and Australia. Turmeric is known in different names across the world. The rhizomes are the most widely used part of the plant as cooking ingredient, medicine and color dye though the leaves and the stems are used for many purposes mainly cooking. The most important chemical components of turmeric are a group of compounds called curcuminoids, which include curcumin (diferuloylmethane), demethoxycurcumin, and bisdemethoxycurcumin. The best-studied compound is curcumin, which is a main ingredient in powdered turmeric. Turmeric also has many important volatile oils include turmerone, atlantone, and zingiberene. Oil and oleo resins extracted from Turmeric are widely used in the pharmaceutical industry. Turmeric as an aromatic medicinal plant was known to Indians since ancient times. Many scientists and historians argue that the South Asia is the original home of Turmeric, from there it might have spread to countries in the South East Asia and pacific islands where Turmeric is cultivated. It was recorded that turmeric was grown wildly in the forest regions of Java, Indonesia as early as 5th century AD.",https://www.atinafoods.com/blog/2017/5/1/turmeric-plant,SUPPORTS
"Turmeric has been widely used for millennia in many parts of the world's, especially in Southeast Asia, not just for cooking but also as medicine and there is new research showing Turmeric could be especially beneficial for some types of pain.","Turmeric, a plant in the ginger family, is native to Southeast Asia and is grown commercially in that region, primarily in India. Its rhizome (underground stem) is used as a culinary spice and traditional medicine. Historically, turmeric was used in Ayurveda and other traditional Indian medical systems, as well as Eastern Asian medical systems such as traditional Chinese medicine. Historically, turmeric was used in Ayurveda and other traditional Indian medical systems, as well as Eastern Asian medical systems such as traditional Chinese medicine. In India, it was traditionally used for disorders of the skin, upper respiratory tract, joints, and digestive system. Today, turmeric is promoted as a dietary supplement for a variety of conditions, including arthritis, digestive disorders, respiratory infections, allergies, liver disease, depression, and many others. Turmeric dietary supplements are made from the dried rhizome and typically contain a mixture of curcuminoids. Turmeric is also made into a paste for skin conditions. Much research has been done on substances from turmeric, but their health effects remain uncertain.",https://www.nccih.nih.gov/health/turmeric,SUPPORTS
