check_worthy_claim,evidence_snippet,article_url,is_unresolved_coref,stance
"Nuts often get a bad press because Nuts are high in fat, and Nuts can cause life-threatening allergies, which is why Nuts are rightly banned from places like schools and nurseries.","After all, symptoms like itchy lips, hives and face swelling aren’t pleasant, and food allergies can be life threatening in the worst-case scenarios. But now, a new study finds that just because you’re diagnosed with a nut allergy doesn’t necessarily mean you’re allergic to it. In the research published in Annals of Allergy, Asthma and Immunology, at least half of people with a diagnosed nut allergy do not show allergic symptoms to other types of nuts—even when tests show that they are allergic. And nearly all of the people with allergies to peanuts—which are technically legumes—were able to safely eat tree nuts like almonds, walnuts and Brazil nuts, even though tests had suggested they might be problematic. A new study suggests that people with specific nut allergies, like peanuts, can still eat certain nuts, like tree nuts.",https://time.com/4713747/nut-allergy-peanuts-tree-nuts/,False,
"Nuts often get a bad press because Nuts are high in fat, and Nuts can cause life-threatening allergies, which is why Nuts are rightly banned from places like schools and nurseries.","And while schools have been known to ban some foods for health reasons - such as fruit juices - another school prohibited birthday cakes in case any of the ingredients contain allergens. But Geoff Barton, general secretary of the Association of School and College Leaders, says a no-nut school or nursery ""would not reflect the reality of the outside world"". But Geoff Barton, general secretary of the Association of School and College Leaders, says a no-nut school or nursery ""would not reflect the reality of the outside world"". He says: ""It would be difficult, if not impossible, to enforce a total ban on certain foods in school."" About one in 50 primary school-age children is affected by a peanut allergy, which has prompted some schools to ban peanuts and other foods in the canteen, staff room and playground. A primary school in South Wales recently implemented a ""no chocolate policy"" because of one boy's allergy, telling parents: ""All areas of the school will be chocolate-free.""",https://www.bbc.co.uk/news/uk-41017657,False,
"Nuts often get a bad press because Nuts are high in fat, and Nuts can cause life-threatening allergies, which is why Nuts are rightly banned from places like schools and nurseries.","Nut allergy can be life-threatening and, surprisingly, in minute quantities can cause a reaction. Studies have reported that people who are highly allergic could suffer an attack if they touched a counter that had been wiped clean of all visible traces of peanut butter. Indirect contact such as being in a room where a jar of peanut butter was opened or being on an airplane with packets of nuts being opened around them can cause a life-threatening reaction in people with severe allergy. If people are allergic to nuts, eating or even just being exposed to a small amount can trigger an allergic reaction. Nuts are one of the most common triggers for anaphylaxis (a severe reaction that can be life-threatening). Anaphylaxis is potentially life-threatening and needs emergency medical treatment. Indirect contact such as being in a room where a jar of peanut butter was opened or being on an airplane with packets of nuts being opened around them can cause a life-threatening reaction in people with severe allergy. If people are allergic to nuts, eating or even just being exposed to a small amount can trigger an allergic reaction. Nuts are one of the most common triggers for anaphylaxis (a severe reaction that can be life-threatening).",https://www.medicinenet.com/what_nuts_are_the_worst_for_allergies/article.htm,False,
"Nuts often get a bad press because Nuts are high in fat, and Nuts can cause life-threatening allergies, which is why Nuts are rightly banned from places like schools and nurseries.","They attribute this to nuts’ high fat levels and caloric density. If you’re counting calories, nuts are costly. Even a small handful generally contains upwards of 150 or 200 calories. Ironically, though, it’s their calorie-packed fat that seems to be part of why they’re so healthy. On top of all their healthy fats, nuts also tend to be high in other nutrients. Many of them are packed with protein, contain fiber, and pack in some vitamin E to boot. Substituting in nuts for some of the protein and fat in your diet can genuinely help you to be healthier. Though their calorie count might scare you, plenty of research shows that claims they’ll boost weight gain are unfounded—people don’t gain weight from eating more nuts. Nuts as a culinary category group a bunch of hard seed-like things that we roast and often salt, tend to be very high in unsaturated fats, and are packed with vitamins and nutrients. Four of the biggest cohort studies in the U.S. have found consistent evidence that people who eat nuts are healthier, especially when it comes to their hearts.",https://www.popsci.com/nuts-fats-health-benefits/,False,
"Nuts often get a bad press because Nuts are high in fat, and Nuts can cause life-threatening allergies, which is why Nuts are rightly banned from places like schools and nurseries.","Because a tree nut allergy can cause a life-threatening reaction, an accurate diagnosis is essential. Your allergist will start by taking a medical history, asking about any previous allergic reactions and about any family history of allergies. Skin-prick tests and/or blood tests may be used to determine the presence of allergen-specific immunoglobulin E, an antibody that binds to allergens and triggers the release of chemicals that cause symptoms. The best way to clear up confusion and manage your tree nut allergy is to see an allergist. ... Anaphylaxis, a potentially life-threatening reaction that impairs breathing and can send the body into shock ... Avoid nuts and nut products; read ingredient labels carefully. Anaphylaxis, a potentially life-threatening reaction that impairs breathing and can send the body into shock ... Avoid nuts and nut products; read ingredient labels carefully. Administer epinephrine (adrenaline) as soon as severe symptoms develop. Don’t let allergies or asthma hold you back. ... An allergy to tree nuts is one of the most common food allergies.",https://acaai.org/allergies/allergic-conditions/food/tree-nut/,False,
"When we eat nuts, we get lots of fibre and, importantly, compounds called polyphenols, which feed our gut bacteria and can reduce inflammation.","The polyphenols in nuts also help to keep our guts healthy by benefiting the good bacteria that reside there – they do this by fuelling the bacteria, helping them grow and increase in number. In turn certain bacteria produce short chain fatty acids that provide numerous benefits for both our gut and our wider health. Nuts contain a number of nutrients and phytochemicals that we find difficult to digest, and this results in us being unable to absorb approximately 5 -15% of the calories in nuts. A study looking at the protective effect of walnuts and almonds suggested their polyphenol content increased antioxidant capacity which in turn helped to protect cells from damage. Nuts are a good source of fibre, with almonds, hazelnuts, pistachios and pecans being among the richest. Nuts contain plant defence chemicals called polyphenols which have a protective effect in the body – they do so by helping to neutralise unstable molecules called free radicals, that can cause damage. A study looking at the protective effect of walnuts and almonds suggested their polyphenol content increased antioxidant capacity which in turn helped to protect cells from damage.",https://www.bbcgoodfood.com/howto/guide/health-benefits-nuts,False,
"When we eat nuts, we get lots of fibre and, importantly, compounds called polyphenols, which feed our gut bacteria and can reduce inflammation.","Nuts contain fibre, unsaturated fatty acids and polyphenols that may impact the composition of the gut microbiota and overall gut health. This study aimed to assess the impact of nuts on gut microbiota, gut function and gut symptoms via a systematic review and meta-analysis of randomised controlled trials (RCTs) in healthy adults. Nuts have been suggested to have a prebiotic effect on the gut microbiota [8]. A prebiotic is a substrate selectively used by the host microorganisms conferring a health benefit [9]. Early in vitro studies demonstrated the prebiotic effect of almonds [10] and chestnut extract [11] on bifidobacteria and lactobacilli respectively. The potential mechanisms behind the observed prebiotic effect of nuts relate to their nutrient composition and physical structure. Nuts are rich in fibre and polyphenols, both of which are utilised as substrates by the gut microbiota.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7468923/,False,
"When we eat nuts, we get lots of fibre and, importantly, compounds called polyphenols, which feed our gut bacteria and can reduce inflammation.","Nuts and seeds are another excellent source of fiber and polyphenols. They also contain healthy fats, such as omega-3 fatty acids. These foods are rich in fiber and polyphenols, which “good” gut microbes love. More on polyphenols in a moment. Many fruits, vegetables, nuts, grains, and legumes contain prebiotics. Prebiotics are a type of fiber that feeds “good” gut bacteria.",https://zoe.com/learn/how-to-improve-gut-health,False,
"When we eat nuts, we get lots of fibre and, importantly, compounds called polyphenols, which feed our gut bacteria and can reduce inflammation.","Nuts are low in cholesterol and high in protein and fiber. They’re also a good source of a host of heart disease-fighting vitamins and minerals. Learn more about the health content of your favorite nuts. All nuts offer health benefits, including plant protein and fiber, but they differ in terms of specific micronutrients. ... “Micronutrients are widely distributed in foods,” Peart says. “So choose a variety of nuts, not always the same ones, in order to get a wide range of nutrients.” · Check out some of the benefits of these favorite nuts. The U.S. Department of Agriculture (USDA) says peanuts contain more protein than any other Food and Drug Administration (FDA)-classified nut. They’re chock full of niacin, fiber and magnesium, too. They assessed the diets of more than 110,000 people and found those who ate 5 or more ounces of nuts per week had a substantially lower risk of heart disease and death. How much lower? People who ate more nuts lowered their risk by 35% to 50%. (Wow!) Nuts come from many different plant families. They’re classified as either tree nuts (a one-seeded fruit in a hard shell) or peanuts (a member of the legume family). All of them share some similar health benefits. Among their benefits, nuts are: A good source of dietary fiber.",https://health.clevelandclinic.org/benefits-of-nuts,False,
"When we eat nuts, we get lots of fibre and, importantly, compounds called polyphenols, which feed our gut bacteria and can reduce inflammation.","Eating nuts on a regular basis may improve your health in many ways, such as by reducing diabetes and heart disease risk, as well as cholesterol and triglyceride levels. This nutritious high-fiber treat may even aid weight loss — despite its high calorie count. SUMMARY Nuts contain antioxidants known as polyphenols, which may protect your cells and “bad” LDL cholesterol from damage caused by free radicals. Though they’re considered a high-calorie food, research suggests that nuts may help you lose weight. This nutritious high-fiber treat may even aid weight loss — despite its high calorie count. As long as you eat them in moderation, nuts make for a tasty addition to a healthy, balanced diet.",https://www.healthline.com/nutrition/8-benefits-of-nuts,False,
