utterance_id,text,factiverse_claim,CW_claim_count,Not_CW_claim_count,majority_claim,output_matched
2434682,"During the chaos of the Trump years, the big running joke was that the New York Times kept reporting about UFOs, and that was still one of the least shocking news events during that chaotic time.",Checkworthy,0,2,Not Checkworthy,False
2434683,"And so how did you get, as a longtime reporter for the Times, how did you get into the UFO",Checkworthy,0,2,Not Checkworthy,False
2434684,And how did you get UFOs on the front page of the New York Times in 2020?,Checkworthy,0,1,Not Checkworthy,False
2434685,"Well, 2017, it started.",Not Checkworthy,0,1,Not Checkworthy,True
2434686,Right.,Not Checkworthy,0,1,Not Checkworthy,True
2434687,"But 2020 was the big, like, gasp reveal.",Checkworthy,0,1,Not Checkworthy,False
2434688,Yeah.,Not Checkworthy,0,1,Not Checkworthy,True
2434689,"Well, we got it in in 2020 because we had broken the ground in 2017 with that big front page story about ATIP, you know, the secret Pentagon unit that was investigating UFOs that no one knew about until we broke the story on the front page of the Times.",Checkworthy,0,1,Not Checkworthy,False
2434690,"After that, we had some follow ups, including in 2020, where we talked about close encounters, close calls, Navy jets almost colliding with some of these UFOs.",Checkworthy,0,1,Not Checkworthy,False
2434691,"And finally, we just kind of broke the story that Congress or committees in Congress were briefed on materials, OK, quote, very difficult story to get, and we can talk about that in more detail.",Checkworthy,0,1,Not Checkworthy,False
2434692,"You know, and that was in the height of the Trump craziness, breaking that story.",Checkworthy,0,1,Not Checkworthy,False
2434693,So but that that was really the trajectory.,Not Checkworthy,0,1,Not Checkworthy,True
2434694,We did a number of stories starting in 2017.,Checkworthy,0,1,Not Checkworthy,False
2434695,And how did your colleagues react to you working on these stories all these years?,Not Checkworthy,0,1,Not Checkworthy,True
2434696,"Well, we're mixed.",Not Checkworthy,0,1,Not Checkworthy,True
2434697,"You know, we were the butt of some jokes, some joking in the Washington bureau, particularly Helene Cooper, who collaborated with Leslie Kane and me on the first story.",Checkworthy,0,1,Not Checkworthy,False
2434698,She was and is the Pentagon correspondent.,Checkworthy,0,0,,
2434699,So she took some heat from her colleagues.,Checkworthy,0,1,Not Checkworthy,False
2434700,"They would go, you know, da, da, da, da, da, da, da, da, you know, when she would pass in the newsroom.",Checkworthy,0,1,Not Checkworthy,False
2434701,"But when she showed some of the videos that we had gotten from the Navy that showed these UFOs and we actually broke, you know, the news of these videos in The New York Times, when she pulled some of those up on her computer, everybody, you know, in the Washington bureau crowded around and they were they were mesmerized.",Checkworthy,0,1,Not Checkworthy,False
2434702,They wanted to see that.,Not Checkworthy,0,1,Not Checkworthy,True
2434703,"Oh, my God, what's that?",Not Checkworthy,0,1,Not Checkworthy,True
2434704,"So I think basically, we had got a lot of support from our colleagues.",Not Checkworthy,0,1,Not Checkworthy,True
