utterance_id,utterance_text,CW_claim_count,Not_CW_claim_count,majority_claim
2434682,"During the chaos of the Trump years, the big running joke was that the New York Times kept reporting about UFOs, and that was still one of the least shocking news events during the chaos of the Trump years.",0,2,Not Checkworthy
2434683,"And so how did you get, as a longtime reporter for the New York Times, how did you get into the UFO",0,2,Not Checkworthy
2434684,"And so how did you get, as a longtime reporter for the New York Times, how did you get into the UFO And how did you get UFOs on the front page of the New York Times in 2020?",0,1,Not Checkworthy
2434685,"Well, 2017, it started.",0,1,Not Checkworthy
2434686,Right.,0,1,Not Checkworthy
2434687,"But 2020 was the big, like, gasp reveal.",0,1,Not Checkworthy
2434688,Yeah.,0,1,Not Checkworthy
2434689,"Well, we got UFOs in in 2020 because we had broken the ground in 2017 with that big front page story about ATIP, you know, the secret Pentagon unit that was investigating UFOs that no one knew about until we broke the story on the front page of the New York Times.",0,1,Not Checkworthy
2434690,"After that, we had some follow ups, including in 2020, where we talked about close encounters, close calls, Navy jets almost colliding with some of these UFOs.",0,1,Not Checkworthy
2434691,"And finally, we just kind of broke the story that Congress or committees in Congress were briefed on materials, OK, quote, very difficult story to get, and we can talk about the story that Congress or committees in Congress were briefed on materials, OK, quote, very difficult story to get in more detail.",0,1,Not Checkworthy
2434692,"You know, and that was in the height of the Trump craziness, breaking the story that Congress or committees in Congress were briefed on materials, OK, quote, very difficult story to get.",0,1,Not Checkworthy
2434693,So but that that was really the trajectory.,0,1,Not Checkworthy
2434694,We did a number of stories starting in 2017.,0,1,Not Checkworthy
2434695,And how did your colleagues react to you working on a number of stories all these years?,0,1,Not Checkworthy
2434696,"Well, your colleagues're mixed.",0,1,Not Checkworthy
2434697,"You know, we were the butt of some jokes, some joking in the Washington bureau, particularly Helene Cooper, who collaborated with Leslie Kane and me on the first story.",0,1,Not Checkworthy
2434698,"Helene Cooper, who collaborated with Leslie Kane and me on the first story was and is the Pentagon correspondent.",0,0,
2434699,"So Helene Cooper, who collaborated with Leslie Kane and me on the first story took some heat from Helene Cooper, who collaborated with Leslie Kane and me on the first story's colleagues.",0,1,Not Checkworthy
2434700,"her colleagues would go, you know, da, da, da, da, da, da, da, da, you know, when Helene Cooper, who collaborated with Leslie Kane and me on the first story would pass in the newsroom.",0,1,Not Checkworthy
2434701,"But when Helene Cooper, who collaborated with Leslie Kane and me on the first story showed some of the videos that we had gotten from Navy that showed these UFOs and we actually broke, you know, the news of the videos that we had gotten from the Navy that showed these UFOs in the New York Times, when Helene Cooper, who collaborated with Leslie Kane and me on the first story pulled some of the videos that we had gotten from the Navy that showed these UFOs up on Helene Cooper, who collaborated with Leslie Kane and me on the first story's computer, everybody, you know, in the Washington bureau crowded around and everybody, you know, in the Washington bureau were everybody, you know, in the Washington bureau were mesmerized.",0,1,Not Checkworthy
2434702,"everybody, you know, in the Washington bureau wanted to see that.",0,1,Not Checkworthy
2434703,"Oh, my God, what's that?",0,1,Not Checkworthy
2434704,"So I think basically, we had got a lot of support from our colleagues.",0,1,Not Checkworthy
2434705,"Yeah, I mean, it's a tough, taboo subject.",0,1,Not Checkworthy
2434706,And you can just define for our listeners what exactly are UFOs?,0,1,Not Checkworthy
2434707,"Well, UAP is really what Pentagon likes to call UFOs, unidentified aerial phenomena, UFOs, unidentified flying objects.",0,1,Not Checkworthy
2434708,"And, you know, people say, do you believe in UFOs?",0,1,Not Checkworthy
2434709,You don't have to believe in UFOs.,0,0,
2434710,UFOs're unidentified.,0,0,
2434711,"You know, there's something up there that they can't identify.",0,0,
2434712,"And some of UFOs, you know, a number have been explained, can be explained.",0,0,
2434713,"You know, various natural phenomena, clouds, you know, all kinds of things.",0,0,
2434714,But a great number of UFOs cannot.,0,0,
2434715,"And the big the last big Pentagon, you know, investigation, Operation Blue Book, which ended in 1969, which concluded, you know, that it was nothing to see here.",0,0,
2434716,But there were 701 cases left on the table that they couldn't explain.,0,0,
2434717,"So, you know, add to 701 cases left on the table that they couldn't explain, then thousands since then.",0,0,
2434718,"And you know, we're left with we're left with a big mystery.",0,0,
2434719,These things.,0,0,
2434720,And now Pentagon says that these UFOs're real.,0,0,
2434721,"I mean, we don't know what UFOs are.",0,0,
2434722,"Nobody knows what UFOs are, where UFOs come from, what UFOs want.",0,0,
2434723,"You know, what intelligence, if any, is behind the wheel.",0,0,
2434724,"But at least now the government is saying, well, these UFOs have a physicality.",0,0,
2434725,these UFOs're real.,0,0,
2434726,these UFOs're not a hallucination.,0,0,
2434727,these UFOs're not a mistake.,0,0,
2434728,"You know, these UFOs're not a fraud or a hoax.",0,0,
2434729,"So in that sense, we've come a long way.",0,0,
2434730,A recent government report said that it can't be ruled out that these UFOs're not aliens.,0,0,
2434731,"From all the reporting you've done, all the conversations you had, how likely do you think some of these UFOs, are aliens?",0,0,
2434732,"Well, you know, that's a question that the government just won't address, by the way.",0,0,
2434733,the government don't go there.,0,0,
2434734,And I understand that.,0,0,
2434735,It's one step at a time.,0,0,
2434736,And it is pure speculation.,0,0,
2434737,"But if you figure that the aerodynamics of these UFOs are not like anything seen on Earth, that the government, the experts, don't believe that any earthly adversary is capable of this kind of advanced technology.",0,0,
2434738,"I mean, these UFOs had no, you know, aerodynamic surfaces, no wings, no tails, no propellers, no exhaust, no sound, no rivets.",0,0,
2434739,"You know, I mean, it just defied explanation.",0,0,
2434740,"And certainly these UFOs seemed not to be anything that anyone on Earth was capable of in terms of these UFOs's speed, these UFOs's maneuverability, these UFOs's ability to disappear and appear, operate even underwater in some cases.",0,0,
2434741,"these UFOs seem to go into the water and out of the water, not just the atmosphere.",0,0,
2434742,"So then you say, well, who could be behind these UFOs?",0,0,
2434743,"I mean, that's pure speculation.",0,0,
2434744,But one of the possibilities would have to be that there's some kind of alien intelligence operating these UFOs either robotically or on board.,0,0,
2434745,"But I mean, you cannot exclude that possibility, obviously.",0,0,
2434746,So that's where we're left.,0,0,
2434747,"I mean, you know, nobody has the proof.",0,0,
2434748,Nobody has any evidence.,0,0,
2434749,"These whoever, whatever might be behind these UFOs has not been caught on, you know, any recording device.",0,0,
2434750,So it remains a mystery.,0,0,
