utterance_id,utterance_text,CW_claim_count,Not_CW_claim_count,majority_claim
2458586,Coming up on this episode of The Doctor's Pharmacy.,1,6,Not Checkworthy
2458587,"If your cortisol is high in the afternoon or high in the evening, you might feel tired and wired.",4,2,Checkworthy
2458588,"You want to sleep, but you can't.",3,3,Checkworthy
2458589,"Or you might fall asleep because you're really tired, and then you wake up in the middle of the night.",1,2,Not Checkworthy
2458590,"Hi, everyone.",1,3,Not Checkworthy
2458591,It's Dr. Mark.,1,4,Not Checkworthy
2458592,"As a functional medicine doctor looking at hormones, organic acids, nutrient levels, inflammatory factors, gut bacteria, and so many other internal variables, it helps Dr. Mark find the most effective path to health and healing for Dr. Mark's patients.",2,2,Checkworthy
2458593,"But such extensive testing can be very complicated and time-consuming for both the practitioner, somebody like a functional medicine doctor looking at hormones, organic acids, nutrient levels, inflammatory factors, gut bacteria, and so many other internal variables, and our patients.",2,2,Checkworthy
2458594,"But lab ordering became very quick and painless since a functional medicine doctor looking at hormones, organic acids, nutrient levels, inflammatory factors, gut bacteria, and so many other internal variables started using Rupa Health.",3,1,Checkworthy
2458595,"a functional medicine doctor looking at hormones, organic acids, nutrient levels, inflammatory factors, gut bacteria, and so many other internal variables can order, track, and get results from over 35 different lab companies within a few clicks in one lab portal.",0,4,Not Checkworthy
2458596,And this means one invoice for all labs paid online up front.,1,3,Not Checkworthy
2458597,"Plus, patients get practitioner pricing and receive full patient support through easier, personalized collection instructions, automated follow-up, super bills, and answers to testing questions, and so much more.",0,2,Not Checkworthy
2458598,"And best of all, Rupa Health's free for practitioners.",2,1,Checkworthy
2458599,So sign up free today.,0,3,Not Checkworthy
2458600,You can find out more information by going to rupahealth.com.,1,2,Not Checkworthy
2458601,That's R-U-P-A health dot com.,0,2,Not Checkworthy
2458602,"Dr. Mark recently found a new drink that fits into Dr. Mark's Pegan diet, and a new drink that fits into my Pegan diet's honestly something Dr. Mark always look forward to when Dr. Mark need a nourishing pick-me-up.",1,2,Not Checkworthy
2458603,a new drink that fits into my Pegan diet's Sun Goddess Matcha Green Tea from Peak.,0,2,Not Checkworthy
2458604,"a new drink that fits into my Pegan diet's the best tasting, smoothest mixing matcha Dr. Mark ever tried.",0,3,Not Checkworthy
2458605,"Dr. Mark'm sure you heard Dr. Mark talk a lot about using food as medicine, and matcha is a great example of this.",1,2,Not Checkworthy
2458606,"matcha's full of polyphenols, which are essentially powerful plant chemicals that are good for your gut bugs, polyphenols, which are essentially powerful plant chemicals that are good for your gut bugs're great for detoxification, for cancer prevention, and so many great antioxidants that support better aging, a balanced blood sugar digestion, and a good immune system.",2,1,Checkworthy
2458607,Dr. Mark love blending the Sun Goddess Matcha powder with some hemp or oat milk into a creamy latte as part of Dr. Mark's morning ritual.,0,4,Not Checkworthy
2458608,"But Dr. Mark've also used the Sun Goddess Matcha powder in Dr. Mark's recipes like matcha poppy bread or various smoothies, and the Sun Goddess Matcha powder works great every time.",0,4,Not Checkworthy
2458609,"a new drink that fits into my Pegan diet's also the only matcha that's 100% organic, ceremonial grade, and quadruple toxin screened for purity.",3,1,Checkworthy
2458610,Matcha makes a great alternative to coffee because Matcha provides sustained clean energy without the jitters.,3,1,Checkworthy
2458611,"L-theanine is a powerful amino acid in matcha that helps you feel calm, focused, and clear",2,1,Checkworthy
2458612,"L-theanine is a powerful amino acid in matcha that helps you feel calm, focused, and clear so you get a boost without the crash.",2,2,Checkworthy
2458613,Peak Sun Goddess Matcha actually contains more theanine chlorophyll because Peak shade Peak's matcha plants 35% longer than other brands.,3,0,Checkworthy
2458614,Dr. Mark really do feel awake and focused and balanced after enjoying Dr. Mark's matcha every morning.,0,3,Not Checkworthy
2458615,"Right now, you can take advantage of Peak's limited time special offer on your first month's supply of Peak.",1,1,Checkworthy
2458616,Just head over to peaklife.com for 15% off and free shipping on your first month's supply of Peak Sun Goddess Matcha.,0,3,Not Checkworthy
2458617,You won't find a better deal anywhere.,1,2,Not Checkworthy
2458618,"Now, let's get back to this week's episode of The Doctor's Pharmacy.",1,1,Checkworthy
2458619,Welcome to The Doctor's Pharmacy.,0,2,Not Checkworthy
2458620,I'm Dr. Mark Hyman.,0,3,Not Checkworthy
2458621,That's pharmacy with an F in place for conversations that matter.,0,2,Not Checkworthy
2458622,"Today, I'm bringing you a health bite to improve your health because taking small steps every day can lead to significant change over time.",1,2,Not Checkworthy
2458623,"Today, we're going to talk about sleep and not just sleep problems in general, but why we may wake up between 1 and 4 in the morning and how you can fix that because a lot of times people have restless sleep.",0,3,Not Checkworthy
2458624,people wake up at night.,0,3,Not Checkworthy
2458625,"people can't go back to sleep and it really affects the quality of people's health, people's life and everything else.",1,1,Checkworthy
2458626,"Sleep is critical to our health, to longevity, to our mental health, to basically every physiological function we have and it really is important to fix Sleep.",3,0,Checkworthy
2458627,Let's talk about what you can do to stay asleep and to sleep more deeply.,0,3,Not Checkworthy
2458628,"So, we know that poor sleep makes us less productive, poor sleep makes us tired, hard to focus.",3,0,Checkworthy
2458629,"Basically, having sleep deprivation is basically equivalent to being drunk.",1,1,Checkworthy
2458630,"In terms of your performance, you know, Dr. Mark read a study once where they were snipers who were, you know, excellent shots and if snipers who were, you know, excellent shots had 8 hours sleep, snipers who were, you know, excellent shots were like 100% accurate.",2,1,Checkworthy
2458631,"If snipers who were, you know, excellent shots had 7 hours sleep, snipers who were, you know, excellent shots were like 95% accurate.",2,0,Checkworthy
2458632,"If snipers who were, you know, excellent shots had 6 hours sleep, snipers who were, you know, excellent shots were like 70% accurate and if snipers who were, you know, excellent shots were like less than 6 hours sleep, snipers who were, you know, excellent shots were basically like 50%, it's like almost a hit and miss.",2,0,Checkworthy
2458633,"So, not good even when you're an expert in something, you can't function when you're tired.",2,1,Checkworthy
2458634,"So, next to sort of nutrition, exercise and maybe even before nutrition, exercise, some would argue sleep may be the fundamental foundation of health and disease prevention and even weight control.",3,0,Checkworthy
2458635,So why is sleep so important?,0,3,Not Checkworthy
2458636,How does sleep dysfunction lead to changes?,0,2,Not Checkworthy
2458637,"Well, there's a very important hormone called cortisol which is your stress hormone and a very important hormone called cortisol which is your stress hormone helps when a very important hormone called cortisol which is your stress hormone's imbalanced to go up in the morning to get you energetic and focused and do the things you need to do for the day and at night, a very important hormone called cortisol which is your stress hormone's supposed to go down and you're supposed to calm down and relax.",3,0,Checkworthy
2458638,"Now, a lot of people have an inversion where a lot of people's cortisol is all in the morning, a lot of people can't get out of bed and at night, a lot of people're tired and wired.",2,0,Checkworthy
2458639,Sound familiar?,0,3,Not Checkworthy
2458640,Dr. Mark bet you some big experience that Dr. Mark certainly have at different moments in Dr. Mark's life.,0,3,Not Checkworthy
2458641,"When you lay and get down in bed, you're exhausted but you can't fall asleep because you're just wired.",2,1,Checkworthy
2458642,"It has to do with your adrenal glands and your adrenal glands're designed to keep things in balance to regulate your weight, to moderate your stress response, to control blood sugar, regulate inflammation and regulate sleep and wake cycles.",2,1,Checkworthy
2458643,"So when we're constantly in a state of stress, we're actually often struggling with sleep because of the way in which a state of stress affects our sleep.",2,1,Checkworthy
2458644,"So when you think about it, when your cortisol is high, you're running from a tiger, you're in danger.",2,0,Checkworthy
2458645,You don't want to be sleeping.,1,2,Not Checkworthy
2458646,You want to be alert and that's the problem.,2,0,Checkworthy
2458647,"So if your cortisol levels are balanced and your cortisol levels're high in the morning and then low at night and your blood sugar stays even, we'll talk about why that's important because fluctuations in blood sugar often will cause midnight or middle of the night wakening.",3,0,Checkworthy
2458648,"But when your cortisol and your body stress response are balanced and your pineal gland produces something called melatonin that pulses really strong in the afternoon and the evening, which gets you ready for sleep and lets your cortisol drop off and then you can feel calm and go to sleep at night and feel sleepy.",2,0,Checkworthy
2458649,"And if you're healthy and balanced in your circadian rhythms and your cortisol and melatonin cycles, you'll be fine.",2,0,Checkworthy
2458650,"But if your cortisol is high in the afternoon or high in the evening, you might feel tired and wired.",2,0,Checkworthy
2458651,"You want to sleep, but you can't.",1,1,Checkworthy
2458652,Or you might fall asleep because you're really tired,1,1,Checkworthy
2458653,"Or you might fall asleep because you're really tired and then you wake up in the middle of the night, like between one and four.",1,1,Checkworthy
2458654,"And that happens when you sort of go, go, go, go, go, do your email, you're working, working, working and busy and then you go to bed and you fall asleep because you're exhausted but you end up waking up because your body is still in a stress state.",2,0,Checkworthy
2458655,There's still high levels of cortisol.,1,1,Checkworthy
2458656,So how does stress affect your sleep-wake cycles?,1,2,Not Checkworthy
2458657,"Well, stress works in a lot of different ways.",0,3,Not Checkworthy
2458658,"Psychological stress can be a big factor, right?",1,1,Checkworthy
2458659,"Worries about family, work, money, physical stresses, lack of exercise is a stress, believe it or not.",2,0,Checkworthy
2458660,"Too much screen time, junk food, toxic lifestyles, hormonal imbalances, environmental toxins.",2,0,Checkworthy
2458661,"Too much screen time, junk food, toxic lifestyles, hormonal imbalances, environmental toxins drive increased inflammation, increased brain inflammation, and also increased cortisol.",2,0,Checkworthy
2458662,"Because by the way, do you know this, that when you eat sugar or starch, your body responds by jerking up the adrenaline and cortisol levels.",2,0,Checkworthy
2458663,So literally eating sugar is a stressful experience to your body.,2,0,Checkworthy
2458664,"Even if you're getting pleasure and you don't think it's stressful and you're meditating while you're eating sugar, you're still going to have high cortisol and high adrenaline.",2,1,Checkworthy
2458665,So what are the things that are the two most common things that are screwing up your sleep-wake cycles?,1,2,Not Checkworthy
2458666,It's probably blood sugar imbalances and spikes and crashes in blood sugar and chronic stress.,2,1,Checkworthy
2458667,So what should you do to optimize nutrition so you can regulate your stress hormones through food and lifestyle and how do you deal with actually regulating sleep throughout the whole night and get high quality sleep?,1,2,Not Checkworthy
2458668,"So first thing is our bodies, whether we like it or not, are biological organisms and our bodies run in circadian rhythms and our bodies need to be balanced.",1,1,Checkworthy
2458669,So you have to live in rhythm.,0,3,Not Checkworthy
2458670,I experienced the dangers of not being in rhythm when I worked in the emergency room.,0,3,Not Checkworthy
2458671,I would sometimes work at 7 in the morning until 5 at night shift.,0,3,Not Checkworthy
2458672,Then I'd work at 2 in the afternoon until the 2 in the morning shift.,0,3,Not Checkworthy
2458673,Then I'd work at 11 o'clock at night to a 7 in the morning shift.,0,3,Not Checkworthy
2458674,"Then I'd work at 8 in the morning to an 8 in the morning shift, 24 hour shift.",0,2,Not Checkworthy
2458675,I was all over the place and my whole system became dysregulated and ultimately it led to chronic fatigue syndrome and a bunch of other stuff.,0,2,Not Checkworthy
2458676,My system just kind of collapsed because I was pushing through all these circadian rhythms which have to be in balance for you to be healthy.,0,2,Not Checkworthy
