utterance_id,utterance_text,CW_claim_count,Not_CW_claim_count,toloka_is_cw
2461333,"Welcome back to the Ancient Health Podcast, where we educate you on real health solutions that will help transform the way you live, feel, and overcome disease naturally.",0,0,
2461334,"I'm your host, Courtney Versage, along with Dr. Josh Axe and Dr. Chris Motley.",0,0,
2461335,We're so happy you've joined us.,0,0,
2461336,Let's dive into today's episode.,0,0,
2461337,"Hey, everybody.",0,0,
2461338,Welcome back.,0,0,
2461339,"the Ancient Health Podcast, where we educate you on real health solutions that will help transform the way you live, feel, and overcome disease naturally is the Ancient Health Podcast.",0,0,
2461340,"My name is Courtney, and I'm so glad that you've joined me today's.",0,0,
2461341,"I have to be honest, I have a special guest in the studio with me today's.",0,0,
2461342,today's episode is a special guest's first podcast.,0,0,
2461343,a special guest might be a little bit nervous.,0,0,
2461344,"So far, a special guest has tried to escape two different times, and a special guest's being forced against a special guest's will to join me.",0,0,
2461345,a special guest is not actually a human guest.,0,0,
2461346,a special guest is Bodhi.,0,0,
2461347,I would say that a special guest's a dog.,0,0,
2461348,"Maybe by genetics, a special guest is a dog.",0,0,
2461349,"But if you're needing a visual, a special guest is somewhat of a combination of the squirrel from Ice Age.",0,0,
2461350,You know the one with the big eyes that's always running around with the nut that the squirrel from Ice Age carries around?,0,0,
2461351,a special guest's kind of like half the squirrel from Ice Age.,0,0,
2461352,"And then if you are familiar, if you have kids and you know the movie, Lilo and Stitch, a special guest is Stitch, kind of crazy, also big eyes, kind of a big head, big ears.",0,0,
2461353,"So if you're walking, if you're out listening to this, you cannot see a special guest, that's kind of a good visual for you.",0,0,
2461354,So a special guest's quite the character.,0,0,
2461355,"But I bring a special guest on today's not because Dr. Motley is unavailable to join me for today's episode and he's the stand-in, but because we're actually talking about our pets.",0,0,
2461356,"We're going to talk about how dogs, specifically cats, dogs, specifically cats kind of fit the bill too.",0,0,
2461357,But some of the data that we're going to look at really looks at the influence of dogs in the house on our microbiome.,0,0,
2461358,And what's interesting is that animals really have always lived with humans.,0,0,
2461359,"Up until this really industrialized age, we've always cohabitated because we've relied on animals for...",0,0,
2461360,"Yeah, a special guest.",0,0,
2461361,Okay.,0,0,
2461362,a special guest's so excited to be here.,0,0,
2461363,I'm glad a special guest finally spoke up.,0,0,
2461364,a special guest's a little shy.,0,0,
2461365,But we've always grown up with animals because animals have been a part of how we live.,0,0,
2461366,"We utilize animals for food, we utilize animals to help manage crops, to ultimately regenerate our soil.",0,0,
2461367,"There's so many purposes for animals beyond just animals's companionship, which is a great benefit to our health too.",0,0,
2461368,"And today's episode, we're not going to talk about so many purposes for animals beyond just their companionship, which is a great benefit to our health too specifically, maybe we'll do another one.",0,0,
2461369,But what I want to focus on is how pets can influence your microbiome because pets bring so much to the table.,0,0,
2461370,"If you think about our animals, our animals're actually out making contact with the dirt and the soil and our animals're bringing the dirt and the soil into our house.",0,0,
2461371,"So animals are bringing things in from the outdoors, things that we normally wouldn't be probably exposed to.",0,0,
2461372,Most of us aren't running around our yard and putting our hands in the dirt.,0,0,
2461373,We're not really even grounding.,0,0,
2461374,We're just inside these sterile environments.,0,0,
2461375,We're not getting access to nature.,0,0,
2461376,And animals actually bring a lot of nature into our homes.,0,0,
2461377,But a lot of the studies that have been done on the influence of dogs on our health really relate to children.,0,0,
2461378,"And I found this so fascinating because there are a lot of people that maybe have kids and they also have pets or maybe think that, hey, pets might be a problem for my child.",0,0,
2461379,What if my dog gets my child sick?,0,0,
2461380,What if my cat gets my child sick?,0,0,
2461381,"And yes, you're exactly right to have concern because animals do have the ability to carry parasites and worms and things like parasites and worms.",0,0,
2461382,But what you've got to realize too is that animals bring a lot of microbial diversity.,0,0,
2461383,And a lot of microbial diversity's something that your child can share from.,0,0,
2461384,"Because in those early years, the first years, we're talking from infancy and birth all the way up to the first two and three years, their microbiome is heavily influenced by the environment that they're raised in.",0,0,
2461385,And so I want to bring to light a couple of things.,0,0,
2461386,"This might be something to consider, especially if maybe you're starting a family, maybe you have children, maybe you have a spouse that doesn't love animals.",0,0,
2461387,"I'm not going to say that a special guest is unloved in this house, but I can tell you that a special guest has more love from some of us than a special guest does others.",0,0,
2461388,"a special guest's also, okay, just a side note, a special guest is like one and a half years old.",0,0,
2461389,a special guest's completely untrained.,0,0,
2461390,"a special guest doesn't know a single command, and a special guest pretty much does whatever a special guest wants.",0,0,
2461391,So I'm okay with it.,0,0,
2461392,I have all the love in the world for Bodhi.,0,0,
2461393,Bodhi's like my sidekick.,0,0,
2461394,"However, not everybody feels the same way about Bodhi, including other family members.",0,0,
2461395,"Bodhi gets love from me, but I feel like that's enough.",0,0,
2461396,And Bodhi and I have a very strong bond and relationship.,0,0,
2461397,"So all right, Bodhi, do Bodhi feel good about that?",0,0,
2461398,"Okay, so let's get into the data.",0,0,
2461399,"So when we're talking about infants and babies, the microbial composition is shaped by a number of factors.",0,0,
2461400,"And a number of factors includes gestational age, the type of delivery that infants and babies had, so whether infants and babies were born vaginally or cesarean, and then the type of diet.",0,0,
2461401,"So if you think about, are infants and babies breastfed or are infants and babies formula fed?",0,0,
