utterance_id,utterance_text,CW_claim_count,Not_CW_claim_count,majority_claim
2462733,"Hello, and welcome to Zoe Shorts, the bite-sized podcast where we discuss one topic around science and nutrition.",3,4,Not Checkworthy
2462734,"I'm Jonathan Wolfe, and today I'm joined by Dr. Sarah Berry.",1,3,Not Checkworthy
2462735,And today's subject is nuts.,0,4,Not Checkworthy
2462736,"And Jonathan, today's subject is a subject Jonathan absolutely love.",0,3,Not Checkworthy
2462737,Jonathan've done loads of interventional human studies measuring the effects of eating nuts on people's health.,1,2,Not Checkworthy
2462738,"Well, the good news is we had lots of listeners worried that nuts are full of fat and therefore are bad for you.",1,2,Not Checkworthy
2462739,"Well, Jonathan hope that lots of listeners worried that nuts are full of fat and therefore are bad for you'll be very surprised by what we're about to discuss then.",0,3,Not Checkworthy
2462740,.,0,2,Not Checkworthy
2462741,Let's go nuts.,0,2,Not Checkworthy
2462742,Sorry about that.,0,2,Not Checkworthy
2462743,"Right, so it's important before we get into the nutritional value of nuts to point out that there's lots of different ways of consuming nuts.",2,0,Checkworthy
2462744,"But on average, our consumption of nuts and seeds in the UK is about six grams per day, which doesn't sound like lots, but that's because we have a lot of people don't consume nuts at all.",3,0,Checkworthy
2462745,And that also includes nut butters.,2,0,Checkworthy
2462746,"To put that in perspective, one portion of nuts is around 30 grams, and one portion of nuts's roughly a small handful of nuts.",2,0,Checkworthy
2462747,"So six grams is literally just a couple of nuts a day then, Dr. Sarah Berry?",1,1,Checkworthy
2462748,"Yeah, that's right, Jonathan.",1,0,Checkworthy
2462749,Which is a shame because Jonathan know nuts're packed full of nutrients.,1,1,Checkworthy
2462750,"In fact, Jonathan've heard Tim describe the nut as a tree egg.",1,1,Checkworthy
2462751,"And Dr. Sarah Berry, Dr. Sarah Berry know how much Dr. Sarah Berry like the nutrients in eggs?",0,3,Not Checkworthy
2462752,"Yeah, absolutely.",0,2,Not Checkworthy
2462753,And mixed nuts contain so many great nutrients.,2,0,Checkworthy
2462754,"mixed nuts contain fibre, mixed nuts contain vitamin E, magnesium, selenium.",1,0,Checkworthy
2462755,"And nuts are also very high in fat, but nuts're particularly high in monounsaturated fats, which we know are the healthy type of fats.",2,0,Checkworthy
2462756,"So Dr. Sarah Berry, let's get into the nuts and bolts of things, shall we?",0,2,Not Checkworthy
2462757,Oh my gosh.,0,2,Not Checkworthy
2462758,Dr. Sarah Berry've got loads more of these today.,0,1,Not Checkworthy
2462759,It's a great one.,0,1,Not Checkworthy
2462760,How do nuts affect our health then?,1,0,Checkworthy
2462761,"In particular, Dr. Sarah Berry've read that nuts might be good for our hearts.",3,0,Checkworthy
2462762,"Yeah, nuts do lots of great things that help our heart health.",1,0,Checkworthy
2462763,"So in particular, nuts can decrease our bad LDL cholesterol, and they can also decrease our blood triglyceride concentrations.",2,0,Checkworthy
2462764,And this means that nuts might help to lower the risk of both heart disease and stroke.,2,0,Checkworthy
2462765,"Now, in addition, nuts also contain bioactives.",3,0,Checkworthy
2462766,And bioactives are tiny molecules that have lots of really special roles to play in the body.,3,0,Checkworthy
2462767,"For example, some have antioxidant and anti-inflammatory properties.",2,0,Checkworthy
2462768,And a great example is polyphenols.,2,0,Checkworthy
2462769,And polyphenols are thought to protect your cells from damage that are caused by free radicals.,2,0,Checkworthy
2462770,"And polyphenol chemicals from nuts can help to reduce bad cholesterol from being oxidised, which happens when LDL cholesterol reacts with free radicals.",1,0,Checkworthy
2462771,This is great because we know that oxidised LDL cholesterol can build up in the walls of your arteries.,1,0,Checkworthy
2462772,"oxidised LDL cholesterol can cause your arteries to become thicker and to stiffen, reducing just how much blood can actually get through your arteries, which can lead to atherosclerosis, which is the first step towards heart disease and strokes.",1,0,Checkworthy
2462773,And there's lots of different studies that have measured this.,1,0,Checkworthy
2462774,And there's a number of different ones that have found that people who eat various types of nuts see a drop in the levels of oxidised LDL cholesterol by up to about 30%.,1,0,Checkworthy
2462775,"Now, on top of that, there's also impact on inflammation, isn't there?",0,3,Not Checkworthy
2462776,And inflammation is something that we're very interested in at ZOE because of the way that inflammation seems to be linked to sort of almost every long-term disease that scientists are investigating.,2,0,Checkworthy
2462777,inflammation just comes up over and over again on these podcasts and elsewhere.,0,1,Not Checkworthy
2462778,"Now, Jonathan's understanding, looking at some of the research there is that there are also studies where people whose diets were supplemented with nuts saw a real decrease in inflammation, what they call inflammatory markers in studies where people whose diets were supplemented with nuts saw a real decrease in inflammation, what they call inflammatory markers in those papers.",1,1,Checkworthy
2462779,"Yeah, that's right, Jonathan.",0,1,Not Checkworthy
