utterance_id,utterance_text,CW_claim_count,Not_CW_claim_count,majority_claim
2465095,Hello and welcome to this podcast from the BBC World Service.,0,1,Not Checkworthy
2465096,Please let the BBC World Service know what you think and tell other people about the BBC World Service on social media.,0,1,Not Checkworthy
2465097,Podcasts from the BBC World Service are supported by advertising.,1,0,Checkworthy
2465098,How does AI even work?,1,0,Checkworthy
2465099,Where does creativity come from?,1,0,Checkworthy
2465100,What's the secret to living longer?,1,0,Checkworthy
2465101,TED Radio Hour explores the biggest questions with some of the world's greatest thinkers.,1,0,Checkworthy
2465102,"some of the world's greatest thinkers will surprise, challenge and even change you.",1,0,Checkworthy
2465103,Listen to TED Radio Hour wherever you get your podcasts.,1,0,Checkworthy
2465104,"We would all like some quick and simple ways to improve our health, but we're inundated with often conflicting advice.",1,0,Checkworthy
2465105,"So if you were going to try just one thing to improve your mental and physical well-being, what should just one thing be?",1,0,Checkworthy
2465106,Perhaps the martial art of Tai Chi to improve your immune system.,1,0,Checkworthy
2465107,Maybe a few nuts to slow aging.,1,0,Checkworthy
2465108,Or how about cleaning your teeth to give your brain a boost?,0,1,Not Checkworthy
2465109,"I'm Dr Michael Moseley and this podcast from the BBC World Service is Just One Thing, where each episode we'll explore one thing you can start doing today to improve your health or life in ways you might not expect.",0,0,
2465110,I do a lot of writing in my day job as a journalist and an author.,0,0,
2465111,"But today, sitting at my computer, I'm going to try something very different.",0,0,
2465112,What I'm writing now is not for publication or for sharing with anyone else.,0,0,
2465113,"Now it's called expressive writing and despite the name, it can be done with pen and paper or on the computer as I'm doing now.",0,0,
2465114,"The idea is you put aside 15 minutes to write about your deepest emotions and the thoughts you have about the things that are keeping you up at night, worrying you.",0,0,
2465115,Studies have shown that doing this can have some surprising health benefits.,0,0,
2465116,It can improve your sleep.,0,0,
2465117,"It has a positive impact on many physical ailments like asthma, arthritis.",0,0,
2465118,It's even been shown to improve the well-being of breast cancer patients.,0,0,
2465119,It may even enhance your brain power.,0,0,
2465120,"It's supposed to be particularly effective if you've got a lot on your mind, like Julie from Hull.",0,0,
2465121,Julie from Hull works in the NHS and is very busy.,0,0,
2465122,I think that picking up the pen or the keyboard is just one thing that will give Julie from Hull's health a boost.,0,0,
2465123,"Hi, Julie from Hull.",0,0,
2465124,"Hi, Michael.",0,0,
2465125,"So Michael understand Michael're a bit like Michael, a bit of a warrior.",0,0,
2465126,How often do Michael find Michael just can't stop thinking about something?,0,0,
2465127,It's usually most days at the moment.,0,0,
2465128,Michael think it's due to the fact that Michael'm just so busy and there is just so much to do during the day.,0,0,
2465129,Michael's mind is just full.,0,0,
2465130,What work do you do?,0,0,
2465131,Julie from Hull work for the NHS.,0,0,
2465132,"Right, so it's pretty stressful at the best of times.",0,0,
2465133,"It's very challenging at the moment, yes.",0,0,
2465134,"I work in a non-clinical role, so I'm not patient-facing.",0,0,
2465135,"But even so, there is a lot to do on a day-to-day basis.",0,0,
2465136,"And then when we finish our work, there's obviously the challenges of running a family in a home as well.",0,0,
2465137,So how many kids have Julie from Hull got?,0,0,
2465138,I've just got one boy.,0,0,
2465139,one boy's 14.,0,0,
2465140,Those are the stressful years.,0,0,
2465141,I do remember they become challenging.,0,0,
2465142,"And you also worry about them, don't you?",0,0,
2465143,Absolutely.,0,0,
2465144,They're at such a critical stage in their lives and you worry how that is all going to end up.,0,0,
2465145,Absolutely.,0,0,
2465146,"All Michael can say is, on the whole, they turn out well.",0,0,
2465147,But it doesn't feel like it at the time.,0,0,
2465148,Thank Michael.,0,0,
2465149,That's good to know.,0,0,
2465150,"Well, I'm going to ask Julie from Hull to set aside 15 minutes on three separate occasions over the next week to write down Julie from Hull's thoughts and feelings.",0,0,
2465151,"This sort of expressive writing has all sorts of benefits for your mood, your immune system, and even your memory.",0,0,
2465152,And you should start to feel the benefits within a week.,0,0,
2465153,Sounds good.,0,0,
2465154,I'll give This sort of expressive writing a go.,0,0,
2465155,I've asked Julie from Hull to write down Julie from Hull's thoughts over the next week.,0,0,
2465156,"And that's because expressive writing can be surprisingly beneficial for your brain, your wellbeing, and your life.",0,0,
2465157,"Now, Julie from Hull might think that focusing on things that have gone wrong and writing about things that have gone wrong would make things worse.",0,0,
2465158,But the opposite seems to be true.,0,0,
2465159,"Research suggests that expressive writing can, in fact, reduce negative thoughts.",0,0,
2465160,And boost your mood.,0,0,
2465161,And it doesn't take long.,0,0,
2465162,"In one study, people who were asked to spend 15 minutes writing down people who were asked to spend 15 minutes writing down their thoughts on three separate occasions's thoughts on three separate occasions not only found that doing so improved the quality of people who were asked to spend 15 minutes writing down their thoughts on three separate occasions's sleep, but it also reduced how often people who were asked to spend 15 minutes writing down their thoughts on three separate occasions had negative thoughts.",0,0,
2465163,"Of course, if you've just experienced a significant trauma or are feeling completely overwhelmed, it would be advisable to go to your GP or another health professional.",0,0,
2465164,"But if it's low-level anxiety, the sort of thoughts that are keeping you up at night, expressive writing really could help.",0,0,
2465165,And expressive writing may even boost your brain power.,0,0,
2465166,"Studies have shown that doing expressive writing before an exam can improve performance by offloading, distracting worrisome thoughts, and freeing up working memory.",0,0,
2465167,And the benefits don't seem to be simply psychological.,0,0,
2465168,"Recent studies have shown some surprising benefits of expressive writing on your physical health, such as your immune system.",0,0,
2465169,"Researchers in New Zealand, for example, asked a group of medical students to write about personal traumatic events the day before a group of medical students were vaccinated.",0,0,
2465170,"Amazingly, six months after receiving the vaccine, a group of medical students had a stronger immune response and far higher antibody levels than a control group who merely had the vaccine.",0,0,
2465171,"Randomised controlled trials, the gold standard of studies, have also shown that asthma patients use less medication and arthritis patients feel less pain after doing expressive writing.",0,0,
2465172,"And encouragingly for patients recovering from cancer treatments, a small randomised controlled trial found that patients with early-stage breast cancer reported fewer coughs, headaches, less chest pain and stomach upset, and attended fewer cancer-related medical appointments in the months after patients with early-stage breast cancer had written about patients with early-stage breast cancer's feelings compared to a control group.",0,0,
2465173,Professor James Pennebaker was the first scientist to investigate how expressive writing can benefit health back in the 1980s.,0,0,
2465174,I'll be speaking to Professor James Pennebaker later in the programme.,0,0,
2465175,"First, let's find out how Julie is getting on with Julie's writing challenge.",0,0,
2465176,I've just written my first expressive writing.,0,0,
2465177,It surprised Julie how much Julie've actually written and Julie have gone over the 15 minutes and didn't realise.,0,0,
2465178,Julie'm quite surprised how much Julie have written and how frank and honest it actually looks as well.,0,0,
2465179,Julie don't usually write during the day.,0,0,
2465180,Usually Julie'm typing at a computer screen or using Julie's mobile phone so to actually pick up a pen was actually quite nice and the words just did seem to flow.,0,0,
2465181,"Wow, I'm glad that Julie got out Julie's pen and wrote those thoughts away.",0,0,
2465182,We'll catch up with Julie again at the end of the week and see if Julie's still enjoying writing enough to make it just one thing Julie'll keep up.,0,0,
2465183,"But now to find out more about why expressive writing is so powerful, I'm speaking to Professor James Pennebaker.",0,0,
2465184,"Professor James Pennebaker, tell me about that first study.",0,0,
2465185,"I was curious if writing about upsetting topics that people had kept secret, if that could be beneficial.",0,0,
2465186,"So that first study, we brought people in the lab one at a time.",0,0,
2465187,We gave people instructions to write about people's deepest thoughts and feelings about this upsetting experience that people hadn't talked much with others about.,0,0,
2465188,people would write for 15 minutes and then people'd come back the next day.,0,0,
2465189,We had another group running at the same time.,0,0,
2465190,another group were asked to write about superficial topics.,0,0,
2465191,And then we simply just tracked how often people went to the doctor over the next several months.,0,0,
2465192,And what we found was that people who wrote about this upsetting experience that they hadn't talked much with others about ended up going to the doctor at far lower rates than people in our control conditions.,0,0,
2465193,Wow.,0,0,
2465194,Did people who wrote about these traumatic experience share what people who wrote about these traumatic experience were writing with others or was it intended to remain a secret but written down?,0,0,
2465195,We told people who wrote about these traumatic experience that we wanted to keep what people who wrote about these traumatic experience'd written and we would never connect it with who people who wrote about these traumatic experience were.,0,0,
2465196,people who wrote about these traumatic experience didn't read it to us or anybody else.,0,0,
2465197,"Right, because in standard therapy, you're supposed to talk it out.",0,0,
2465198,"But in this case, it was enough just to write it down.",0,0,
2465199,And people who wrote about these traumatic experience were asked to write about some of the most traumatic experiences of people who wrote about these traumatic experience's lives.,0,0,
2465200,Did it have to be a major trauma to work?,0,0,
2465201,No.,0,0,
2465202,"What Professor James Pennebaker usually ask people to do is, Professor James Pennebaker want people to write about any experience that you're worried about that keeps recurring in people's mind.",0,0,
2465203,"So, do Professor James Pennebaker think it's that expressive writing in some ways helping clear your mind?",0,0,
