utterance_id,utterance_text,CW_claim_count,Not_CW_claim_count,majority_claim
2290520,"Hey, hey, and welcome folks, this is The Ben Shapiro Show.",0,0,
2290521,"Yeah, it's a Sunday, but you know what we've decided to start doing on Sundays?",0,0,
2290522,We're going to drop you a little bit of mailbag wisdom.,0,0,
2290523,So we're going to answer the questions we receive throughout the week from you.,0,0,
2290524,"Now, you have to be a subscriber in order to have the questions we receive throughout the week from you answered, which is why you should go subscribe right now at dailywireplus.com.",0,0,
2290525,Maybe your question will be the next one I answer.,0,0,
2290526,"Corey says, Ben, Corey live in Washington State, where the legislature has recently passed bills allowing gender-affirming care of minors without parental consent.",0,0,
2290527,"Corey'm bothered that the Washington State, where the legislature has recently passed bills allowing gender-affirming care of minors without parental consent House and Senate Republicans don't point out the horrible truth of what's actually happening, such as the sterilization and removal of healthy body parts of minors, as Matt Walsh does.",0,0,
2290528,"Instead, the Washington House and Senate Republicans use the left's euphemism of gender-affirming care.",0,0,
2290529,It seems to Corey the Washington House and Senate Republicans're losing the debate before the debate begins by allowing the truth to be obfuscated.,0,0,
2290530,Is there any strategic reason for Republicans to speak the gender-affirming language?,0,0,
2290531,Not one iota of a reason.,0,0,
2290532,the left's is so fond of euphemisms.,0,0,
2290533,It's euphemism after euphemism.,0,0,
2290534,"And gender-affirming care replaces the just-as-euphemistic sex-change surgery, because you can't actually change your sex.",0,0,
2290535,It's euphemism upon euphemism.,0,0,
2290536,It started off with sex-change surgery.,0,0,
2290537,Then it was hormone replacement therapy.,0,0,
2290538,Now it's gender-affirming care.,0,0,
2290539,"Again, all of this is euphemism.",0,0,
2290540,"What it should be is sex-denying treatment, because sex-denying treatment's what it is.",0,0,
2290541,You are denying your own actual biological sex by altering your body and your hormones.,0,0,
2290542,That is what you are doing.,0,0,
2290543,The right should never give on this point.,0,0,
2290544,"Ben mean, it's ridiculous.",0,0,
2290545,"The right do the same thing with abortion, by the way, The right.",0,0,
2290546,"Even the term abortion or termination of a pregnancy, Even the term abortion or termination of a pregnancy is the killing of the unborn.",0,0,
2290547,the killing of the unborn is what The right are doing.,0,0,
2290548,Ben can make the argument as to what the status of the unborn is at any given point.,0,0,
2290549,But the idea that you are not killing the thing that is unborn is obviously untrue.,0,0,
2290550,That is the thing that is happening.,0,0,
2290551,"Jeremy says, What do Ben think the U.S. could do to win back the trust of the U.S.'s allies?",0,0,
2290552,"Also, assuming France truly decides to become politically non-aligned and move away from the U.S., what do Ben think are the chances of France becoming an independent superpower?",0,0,
2290553,"A very, very low.",0,0,
2290554,France does not have the ability to become an independent superpower.,0,0,
2290555,"Now, France has the most durability of any other country on the continent.",0,0,
2290556,"It's like Germany and France are the two most durable countries on the continent, mainly because the reproduction rate in France is actually fairly decent.",0,0,
2290557,Like France're still reproducing at a kind of normal rate.,0,0,
2290558,"France're like 1.9 births per woman, which is fairly high by sort of Western standards, even though it's below replacement rates.",0,0,
2290559,"Right now, Germany is like 1.6.",0,0,
2290560,the U.S. is kind of around the German number.,0,0,
2290561,"the U.S.'re like 1.8, 1.782.",0,0,
2290562,Somewhere in there.,0,0,
2290563,So France is the healthiest in terms of demographics.,0,0,
2290564,"France're also importing a huge young population from northern Africa, right, the big Moroccan population coming in, Libyan population coming into France as well.",0,0,
2290565,France's economy doesn't allow France to really grow at extraordinarily rapid rates.,0,0,
2290566,"France do obviously have nuclear weapons, France, and France have a not insignificant military.",0,0,
2290567,But the idea France're ever an independent sort of power is wrong.,0,0,
2290568,"The idea of an aligned Europe that acts as a counterweight to both the U.S. and China has long been a European dream, but they seem unwilling to actually pay the freight for The idea of an aligned Europe that acts as a counterweight to both the United States and China.",0,0,
2290569,"Craig says, Ben, Craig want to ask about two groups of voters when comparing the 2016 and 2020 presidential elections.",0,0,
2290570,"In 2016, Trump won almost 63 million votes.",0,0,
2290571,"In 2020, Trump won 74.25 million votes.",0,0,
2290572,Where did the 11.25 million votes come from for Trump who got mobilized?,0,0,
2290573,"On the flip side, Hillary won about 65 million votes in 2016.",0,0,
2290574,Biden won about 81.25 million new votes in 2020.,0,0,
2290575,Do Craig think media manipulation and hatred of Hillary explains the 16 million new votes that went to Biden?,0,0,
2290576,about 81.25 million new votes seems like far too high a number to blame on low information voter.,0,0,
2290577,"Well, the answer is that the 2020 election cycle had just a massive voter turnout.",0,0,
2290578,"Ben mean, the voter turnout rate had the highest voter turnout of the 21st century.",0,0,
2290579,At 67% of citizens aged 18 and older voted in the election in 2020.,0,0,
2290580,"In 2016, the voter turnout rate was like 59%.",0,0,
2290581,So 59% is a much lower number.,0,0,
2290582,"You had 59% of a voting age population of 249 million in 2016, so 60%.",0,0,
2290583,You had almost a two-thirds voter turnout rate with an increased population of 258 million who are eligible to vote.,0,0,
2290584,That's the answer.,0,0,
2290585,"The answer is every election, there's a growing population in the U.S..",0,0,
2290586,"And 2020, because of all the mail-in ballots and all the you-can-vote-five-months-in-advance garbage, because of all the mail-in ballots and all the you-can-vote-five-months-in-advance garbage, the voter turnout rate was the highest voter turnout rate in modern American history.",0,0,
2290587,"Again, we have not seen a voter turnout rate that high pretty much ever.",0,0,
2290588,Pretty much ever.,0,0,
2290589,"Turnout as a percentage of eligible voters, Ben mean, back in 1980, Turnout as a percentage of eligible voters was like 54%.",0,0,
2290590,And then Turnout as a percentage of eligible voters stayed in the 50s all the way up to 2004.,0,0,
2290591,We got 60%.,0,0,
2290592,"Then in 2008, Turnout as a percentage of eligible voters was 62.5%.",0,0,
2290593,Back down to the 50s for 2012 and 2016.,0,0,
2290594,And then 67% in 2020.,0,0,
2290595,So that would be your answer.,0,0,
2290596,That's where all those extra voters came from.,0,0,
2290597,"Mark says, hey, Ben.",0,0,
2290598,Thanks for everything Ben and DW Plus do.,0,0,
2290599,"When I was recently talking, one of my liberal friends about the Dilma-Veini Bud Light story, one of my liberal friends told me conservatives are hypocrites because we told conservatives not to be offended by a lady on a syrup bottle.",0,0,
2290600,And now conservatives are offended by a lady on a beer can.,0,0,
2290601,How would Ben respond to this?,0,0,
2290602,Are conservatives hypocrites on this?,0,0,
2290603,"No, because there is nothing inherently offensive about a black woman on a syrup bottle.",0,0,
2290604,Ben don't find black women offensive.,0,0,
2290605,There's something inherently offensive about a man pretending to be a woman.,0,0,
2290606,That's the thing.,0,0,
2290607,"Now, Ben assume that we're talking now about the Aunt Jemima bottle.",0,0,
2290608,And the idea was that this was linked to slavery.,0,0,
2290609,And this was linked to sort of reconstruction era imagery of black people.,0,0,
2290610,"The point that Ben was making is that Ben'm not sure anybody has ever actually had syrup from the Aunt Jemima bottle was thinking, man, slavery.",0,0,
2290611,slavery was a great thing.,0,0,
2290612,Reconstruction.,0,0,
2290613,Reconstruction was a great thing.,0,0,
2290614,"And if Ben thought that, or anti-reconstruction rather, that was a great thing.",0,0,
2290615,"If Ben thought that, Ben would also be against the Aunt Jemima bottle.",0,0,
2290616,But that's not what it was about.,0,0,
2290617,"The whole point is with Bud Light, you're actually saying, yes, this is a great thing, what Trump is doing.",0,0,
2290618,"Benjamin says, hey, Ben, love the show.",0,0,
2290619,Proud to be an All Access member.,0,0,
2290620,Mark's question is regarding the 2024 election.,0,0,
2290621,Biden technically has yet to announce Biden'll actually run.,0,0,
2290622,Benjamin realize Biden will most likely.,0,0,
2290623,"However, let's assume Biden doesn't.",0,0,
2290624,Who do Ben believe would become the Democratic nominee?,0,0,
2290625,So Democrats have boxed Democrats into the intersectional square.,0,0,
2290626,There's nothing Democrats can really do here.,0,0,
2290627,Kamala Harris is going to be the presumptive nominee.,0,0,
2290628,That is particularly true because Democrats now shifted the voting states in the Democratic primaries.,0,0,
2290629,"Ben believe South Carolina now goes first, which cuts out like Bernie Sanders, Pete Buttigieg, all white people all the time vote.",0,0,
2290630,So the chances that Kamala Harris ends up as the nominee are fairly high.,0,0,
2290631,Kamala Harris has the highest name recognition.,0,0,
2290632,This is what the polls are showing as well.,0,0,
2290633,Kamala Harris leads the sort of replaced Bud Light sweepstakes.,0,0,
2290634,"Now, you could theoretically see somebody like Gavin Newsom throw somebody like Gavin Newsom's hat in the ring.",0,0,
2290635,And presumably somebody like Gavin Newsom'd have an advantage in California.,0,0,
2290636,Although Ben'm not so sure.,0,0,
2290637,Ben'm not so sure.,0,0,
2290638,"Austin says, hey, Ben, Austin have a quick question regarding modesty.",0,0,
2290639,Austin'm a young Christian man currently going to a secular college.,0,0,
2290640,"Austin grew up in a family and church that put a high emphasis on modesty, both male and female.",0,0,
2290641,"Austin've struggled to see where the Old and New Testament talks about modesty, both male and female in any detail.",0,0,
2290642,"Austin'm trying to determine what Austin believe so Austin can live according to modesty, both male and female and leave Austin's future family in accordance with both scriptures and morality.",0,0,
2290643,"Austin was wondering if Ben could give Austin a definition of modesty, answer if modesty is important, and ways modesty can be lived in day-to-day life.",0,0,
2290644,Thank Ben for all that Ben do and all those Ben influence.,0,0,
2290645,"Austin know Ben have helped Austin in several ways, including the idea that facts matter more than Austin's feelings and to approach things from truth no matter what the stance.",0,0,
2290646,"Okay, so the idea of modesty, the definition of modesty is dressing in a way that is not designed to elicit a sexual response.",0,0,
2290647,That is the definition of modesty.,0,0,
2290648,That doesn't mean you have to dress like a Frump.,0,0,
2290649,It doesn't mean you have to dress in an old sack.,0,0,
2290650,You don't have to wear a burka.,0,0,
2290651,"What it does mean is that if you are dressing in a way that is deliberately sexually provocative, then that is immodest.",0,0,
2290652,And to pretend that all items of clothing are similar in terms of all items of clothing's sexual provocativeness is just silly.,0,0,
2290653,"Now, even to use the term sexually provocative now is controversial because we are all supposed to be men and women of stone.",0,0,
2290654,We're supposed to pretend that you're supposed to have exactly the same response to a woman wearing a thong bikini on the beach as you would to a woman wearing a three-piece business suit or something.,0,0,
2290655,"That's silly and stupid, and everyone knows that it's silly and stupid, which is why advertising does not feature generally women in business suits walking on the beach, but does very frequently feature bucks and women on the beach wearing thong bikinis.",0,0,
2290656,There's a reason for that.,0,0,
2290657,"And when women dress like this, to pretend that women do not know that this is designed to elicit a response is, of course, incredibly silly.",0,0,
2290658,The entire lingerie business is designed around this exact notion.,0,0,
2290659,The same thing in miniature is true of men.,0,0,
2290660,Women are not as visually driven by sort of sexual stimuli as men are.,0,0,
2290661,"As I've said before, when it comes to women and sex, men and sex, very different mentalities.",0,0,
2290662,"For women, women need to know why.",0,0,
2290663,"For men, men need to know when and where.",0,0,
2290664,Those are the big questions.,0,0,
2290665,"And so the idea that women, there's a wide variety of clothing women can wear that is more sexually provocative than what a man can wear is 100% true.",0,0,
2290666,"Of course, of course.",0,0,
2290667,"Now, there are areas of debate here.",0,0,
2290668,"Ben've had these debates with, for example, Ben's friend who's a very conservative Christian, Allie Beth Stuckey.",0,0,
2290669,"my friend who's a very conservative Christian, Allie Beth Stuckey and Mr. Shapiro have had the yoga pants debate.",0,0,
2290670,"Mr. Shapiro've suggested that yoga pants are significantly sexually provocative to men, the reason being that women spray paint women's ass very often and then assume that men are not looking at that, which, of course, is very, very stupid.",0,0,
2290671,"And my friend who's a very conservative Christian, Allie Beth Stuckey's like, well, yeah,",0,0,
2290672,"And my friend who's a very conservative Christian, Allie Beth Stuckey's like, well, yeah, but yoga pants're comfortable at the gym.",0,0,
2290673,"And so my friend who's a very conservative Christian, Allie Beth Stuckey'm not wearing yoga pants to provoke men.",0,0,
2290674,"Yes, but that does not change whether an item of clothing is objectively more sexually provocative than another item of clothing.",0,0,
2290675,"And this is all this is what this is the conversation reasonable people would have, we're not allowed to have these conversations again, we're supposed to now pretend that if a woman wears a thong bikini, walks into the office, it's a job of men to like avert men's eyes.",0,0,
2290676,A woman has done nothing whatsoever that elicits a response.,0,0,
2290677,"Now, again, all of human life is meant to elicit emotional responses from other people.",0,0,
2290678,We're constantly doing that.,0,0,
2290679,We're constantly acting and saying things in ways that elicit responses from other people.,0,0,
2290680,We are not made of stone.,0,0,
2290681,"But here we're supposed to, again, pretend that the human the most deep and abiding human instinct, the instinct to sexuality doesn't exist in this context so that we can pretend that somehow decisions don't elicit responses or something or the men and women are the same.",0,0,
2290682,"Charlotte says, Charlotte live in the suburbs of Chicago.",0,0,
2290683,Anything that happens here strongly impacts what happens in Charlotte's life.,0,0,
